IBM Db2 Interactive CLI Sample Program (extração paginada)
> SELECT COALESCE(userid, '') || ',' || COALESCE(CHAR(status), '') || ',' || COALESCE(CHAR(changedate), '') || ',' || COALESCE(REPLACE(memo, ',', ';'), '') || ',' || COALESCE(changeby, '') as CSV_ROW FROM MAXUSERSTATUS;
FetchAll:  Columns: 1
  CSV_ROW 
  ABILIOREIS,NEWREG                              ,2026-04-04-06.59.50.528000,,MAXADMIN
  LEANDROSERRA,INACTIVE                            ,2025-01-20-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEANDROSERRA,ACTIVE                              ,2024-11-04-09.11.10.000000,Ticket#0377263 — MAXIMO,ITEAM
  LEANDROSILVASILVA,ACTIVE                              ,2024-09-22-18.37.45.000000,,ANDREGIACOMELI
  LEANDROSILVASILVA,INACTIVE                            ,2024-11-13-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEANDROSILVASILVA,NEWREG                              ,2024-09-22-18.35.53.000000,,MAXADMIN
  LEANDROVENANCIO,ACTIVE                              ,2019-04-15-17.36.53.000000,,THIAGOFROES
  LEANDROVENANCIO,INACTIVE                            ,2020-06-09-20.32.12.000000,,MAXADOOG
  LEILTONMARQUES,INACTIVE                            ,2023-05-24-14.39.20.000000,,ITEAM
  LEILTONMARQUES,ACTIVE                              ,2023-05-22-13.19.52.000000,,ITEAM
  LENIELJUNIOR,ACTIVE                              ,2017-08-15-10.27.54.000000,,MAXADMIN
  LENIELJUNIOR,INACTIVE                            ,2022-06-30-06.00.54.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LENIELJUNIOR,ACTIVE                              ,2022-06-29-09.36.27.000000,Ticket#0245200 — Reset das senhas de acesso ao Maximo das UMP - Leniel Borel,ITEAM
  LENIELJUNIOR,BLOCKED                             ,2018-06-04-10.45.48.000000,,MAXADMIN
  LENIELJUNIOR,INACTIVE                            ,2019-01-25-16.17.24.000000,Inativando usuários que nao acessam o ambiente nos ultimos 6 meses,MAXADOOG
  LENIELJUNIOR,ACTIVE                              ,2018-09-26-14.43.47.000000,,MAXADMIN
  LEOESTEVES,INACTIVE                            ,2024-07-11-01.00.02.000000,Automatic Inativate expired user access,MAXADMIN
  LEOESTEVES,ACTIVE                              ,2024-07-23-16.11.35.000000,,JOSESANTOS
  LEOESTEVES,ACTIVE                              ,2024-06-28-16.06.03.000000,,ANDREGIACOMELI
  LEOESTEVES,INACTIVE                            ,2024-09-18-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEOESTEVES,NEWREG                              ,2024-06-28-16.04.01.000000,,MAXADMIN
  LEOLIMA,ACTIVE                              ,2014-05-05-20.05.06.000000,,MAXADMIN
  LEOLIMA,INACTIVE                            ,2016-11-30-15.30.01.000000,Desativando usuarios que nao fizeram login em 2016,MAXADOOG
  LEONANCABRAL,NEWREG                              ,2025-12-13-19.47.43.952000,,ITEAM
  LEONANCABRAL,INACTIVE                            ,2026-03-26-07.45.03.985000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONANCABRAL,ACTIVE                              ,2025-12-13-19.49.01.086000,,ANDREGIACOMELI
  LEONARDMORAES,ACTIVE                              ,2019-05-22-10.37.12.000000,,THIAGOFROES
  LEONARDMORAES,INACTIVE                            ,2023-04-24-06.04.42.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOA,NEWREG                              ,2025-12-20-03.49.57.614000,,ITEAM
  LEONARDOA,INACTIVE                            ,2026-03-26-07.45.04.137000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOA,ACTIVE                              ,2025-12-20-03.50.52.421000,,ANDREGIACOMELI
  LEONARDOASANTOS,NEWREG                              ,2026-04-18-17.26.35.614000,,MAXADMIN
  LEONARDOASANTOS,INACTIVE                            ,2026-06-08-07.45.11.358000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOASANTOS,ACTIVE                              ,2026-04-18-17.28.40.966000,,RAFAELLANA
  LEONARDOBELMIRO,NEWREG                              ,2024-09-04-16.41.16.000000,,MAXADMIN
  LEONARDOBELMIRO,INACTIVE                            ,2026-03-26-07.45.02.761000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOBELMIRO,ACTIVE                              ,2025-10-18-21.10.38.000000,Ticket#2025101829000231,HELPDESK
  LEONARDOBELMIRO,INACTIVE                            ,2025-02-23-06.01.46.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOBELMIRO,INACTIVE                            ,2024-11-07-06.00.04.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOBELMIRO,ACTIVE                              ,2024-12-20-09.55.20.000000,,ANDREGIACOMELI
  LEONARDOBELMIRO,ACTIVE                              ,2024-09-04-16.42.35.000000,,ANDREGIACOMELI
  LEONARDOBESSA,ACTIVE                              ,2025-09-06-20.56.44.000000,,VAGNERPEREIRA
  LEONARDOBESSA,INACTIVE                            ,2026-03-26-07.45.02.673000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOBESSA,NEWREG                              ,2025-09-06-20.56.01.000000,,ITEAM
  LEONARDOBRITTO,ACTIVE                              ,2021-10-26-12.32.10.000000,,ITEAM
  LEONARDOBRITTO,INACTIVE                            ,2022-03-12-06.00.21.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOCARNEIRO,ACTIVE                              ,2025-03-09-13.11.54.000000,,ANDREGIACOMELI
  LEONARDOCARNEIRO,INACTIVE                            ,2025-05-06-06.00.07.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOCARNEIRO,NEWREG                              ,2025-03-09-13.09.07.000000,,MAXADMIN
  LEONARDODELUCA,ACTIVE                              ,2025-11-07-17.47.56.000000,,RAFAELLANA
  LEONARDODELUCA,INACTIVE                            ,2026-03-26-07.45.01.708000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDODELUCA,NEWREG                              ,2025-11-07-17.47.12.000000,,ITEAM
  LEONARDODESOUZAGERMANO,NEWREG                              ,2026-03-10-19.26.51.974000,,MAXADMIN
  LEONARDODESOUZAGERMANO,INACTIVE                            ,2026-05-03-07.45.13.799000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDODESOUZAGERMANO,ACTIVE                              ,2026-03-10-19.28.03.521000,,ANDREGIACOMELI
  LEONARDODOURADO,ACTIVE                              ,2025-09-04-10.48.53.000000,,ITEAM
  LEONARDOFRANCISCO,ACTIVE                              ,2014-05-05-10.35.11.000000,,MAXADMIN
  LEONARDOFRANCISCO,INACTIVE                            ,2019-01-25-16.17.24.000000,Inativando usuários que nao acessam o ambiente nos ultimos 6 meses,MAXADOOG
  LEONARDOFRANCISCO,INACTIVE                            ,2024-01-12-05.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOFRANCISCO,ACTIVE                              ,2024-01-11-09.49.14.000000,Ticket#0334934,HELPDESK
  LEONARDOGOMES,ACTIVE                              ,2016-06-22-17.53.54.000000,,MAXADOOG
  LEONARDOGOMES,INACTIVE                            ,2019-01-25-16.17.24.000000,Inativando usuários que nao acessam o ambiente nos ultimos 6 meses,MAXADOOG
  LEONARDOGOMES,INACTIVE                            ,2021-09-10-15.19.22.000000,Ticket#0212431 — Emissão de Rescisão Contratual -,ITEAM
  LEONARDOGOMES,ACTIVE                              ,2019-12-27-13.11.36.000000,,MAXADOOG
  LEONARDOMAYERHOFFER,INACTIVE                            ,2024-12-06-06.00.07.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOMAYERHOFFER,ACTIVE                              ,2024-10-16-11.20.22.000000,,ITEAM
  LEONARDOMOREIRA,ACTIVE                              ,2023-05-22-15.53.44.000000,0295270,HELPDESK
  LEONARDOMOREIRA,ACTIVE                              ,2026-05-28-14.34.41.685000,,HELPDESK
  LEONARDOMOREIRA,INACTIVE                            ,2025-07-01-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOMOREIRA,ACTIVE                              ,2025-06-30-12.24.49.000000,2025063029000387,HELPDESK
  LEONARDOMOREIRA,INACTIVE                            ,2024-03-03-06.00.04.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOMOREIRA,INACTIVE                            ,2024-03-08-06.00.04.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOMOREIRA,ACTIVE                              ,2024-03-07-11.38.28.000000,0344896,HELPDESK
  LEONARDOMOREIRA,ACTIVE                              ,2024-01-12-12.10.54.000000,0335174,HELPDESK
  LEONARDOMOREIRA,INACTIVE                            ,2023-11-08-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOMOREIRA,INACTIVE                            ,2023-05-18-06.00.56.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOMOREIRA,ACTIVE                              ,2022-12-28-12.50.20.000000,,ITEAM
  LEONARDONASCIMENTO,ACTIVE                              ,2022-05-24-13.16.43.000000,,ITEAM
  LEONARDORANGEL,INACTIVE                            ,2024-01-03-00.00.02.000000,Automatic Inativate expired user access,MAXADMIN
  LEONARDORANGEL,INACTIVE                            ,2024-05-20-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDORANGEL,ACTIVE                              ,2023-12-20-09.56.24.000000,,ANDREGIACOMELI
  LEONARDORANGEL,NEWREG                              ,2023-12-20-09.55.31.000000,,MAXADMIN
  LEONARDORANGEL,ACTIVE                              ,2024-01-15-06.49.09.000000,,ANDREGIACOMELI
  LEONARDORANGEL,INACTIVE                            ,2024-01-15-00.00.03.000000,Automatic Inativate expired user access,MAXADMIN
  LEONARDORANGEL,ACTIVE                              ,2024-01-14-14.19.33.000000,,ANDREGIACOMELI
  LEONARDOROCHA,NEWREG                              ,2023-12-27-15.49.14.000000,,MAXADMIN
  LEONARDOROCHA,INACTIVE                            ,2025-10-27-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOROCHA,NEWREG                              ,2025-09-07-02.54.48.000000,,ITEAM
  LEONARDOROCHA,ACTIVE                              ,2025-09-07-02.56.13.000000,,RAFAELLANA
  LEONARDOROCHA,INACTIVE                            ,2024-02-28-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOROCHA,ACTIVE                              ,2023-12-27-15.50.03.000000,,ANDREGIACOMELI
  LEONARDOWAINER,ACTIVE                              ,2026-01-20-09.50.54.037000,,ITEAM
  LEONARDOWAINER,INACTIVE                            ,2026-03-26-07.45.04.898000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOWINER,NEWREG                              ,2025-12-20-06.57.39.309000,,ITEAM
  LEONARDOWINER,INACTIVE                            ,2026-01-20-09.46.41.254000,Ticket#2026011829000041 — Reset de senha do Máximo.,ITEAM
  LEONARDOWINER,ACTIVE                              ,2026-01-19-14.54.39.164000,Ticket#2026011829000041 — Reset de senha do Máximo.,ITEAM
  LEONARDOWINER,INACTIVE                            ,2025-12-23-01.00.13.806000,Automatic Inativate expired user access,MAXADMIN
  LEONARDOWINER,ACTIVE                              ,2025-12-20-07.14.56.055000,,ANDREGIACOMELI
  LEOROSA,NEWREG                              ,2026-06-21-06.52.13.223000,,MAXADMIN
  LEOROSA,ACTIVE                              ,2026-06-21-06.53.24.770000,,RAFAELLANA
  LEOSANDOVAL,ACTIVE                              ,2017-07-17-13.43.07.000000,,MAXADMIN
  LEOSANDOVAL,INACTIVE                            ,2021-07-10-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEOSANDOVAL,ACTIVE                              ,2019-07-24-18.14.51.000000,Ticket#088633 — Acesso ao Maximo da norbe VI,THIAGOFROES
  LEOSANDOVAL,INACTIVE                            ,2019-01-25-16.17.24.000000,Inativando usuários que nao acessam o ambiente nos ultimos 6 meses,MAXADOOG
  LEOSANTOS,NEWREG                              ,2025-12-27-14.50.01.353000,,ITEAM
  LEOSANTOS,INACTIVE                            ,2026-04-03-07.45.02.934000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEOSANTOS,ACTIVE                              ,2025-12-27-14.50.24.524000,,RAFAELLANA
  LETICIALEITE,ACTIVE                              ,2023-09-06-18.33.36.000000,,ITEAM
  LETICIALEITE,INACTIVE                            ,2023-10-27-05.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LFERNANDO,NEWREG                              ,2025-11-21-06.17.11.000000,,ITEAM
  LFERNANDO,INACTIVE                            ,2026-03-26-07.45.01.430000,Usuario inativo por mais de 50 dias,MAXADMIN
  LFERNANDO,ACTIVE                              ,2025-11-21-06.18.11.000000,,ANDREGIACOMELI
  LFERREIRA,ACTIVE                              ,2025-04-18-17.45.00.000000,,ANDREGIACOMELI
  LFERREIRA,INACTIVE                            ,2025-06-13-06.00.11.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LFERREIRA,NEWREG                              ,2025-04-18-17.43.38.000000,,MAXADMIN
  LICIAAVENA,ACTIVE                              ,2025-04-25-16.11.31.000000,,ITEAM
  LICIAAVENA,INACTIVE                            ,2025-06-15-06.00.11.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LILIANECARREIRO,ACTIVE                              ,2015-07-21-18.23.43.000000,,MAXADOOG
  LILIANECARREIRO,INACTIVE                            ,2016-11-30-15.30.01.000000,Desativando usuarios que nao fizeram login em 2016,MAXADOOG
  LIMAGUILHERME,INACTIVE                            ,2025-11-16-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LIMAGUILHERME,ACTIVE                              ,2025-09-13-17.40.30.000000,,RAFAELLANA
  LIMAGUILHERME,NEWREG                              ,2025-09-13-17.39.44.000000,,ITEAM
  LIMAROBSON,NEWREG                              ,2025-02-21-18.09.32.000000,,MAXADMIN
  LINASOUZA,ACTIVE                              ,2015-11-19-14.24.53.000000,,MAXADMIN
  LINASOUZA,INACTIVE                            ,2016-11-30-15.30.01.000000,Desativando usuarios que nao fizeram login em 2016,MAXADOOG
  LINCOLNSOUZA,ACTIVE                              ,2019-03-14-17.48.39.000000,,THIAGOFROES
  LINCOLNSOUZA,INACTIVE                            ,2019-09-13-07.45.17.000000,,MAXADOOG
  LISTESIVICA,ACTIVE                              ,2016-02-04-10.27.16.000000,,MAXADMIN
  LISTESIVICA,INACTIVE                            ,2017-06-26-13.59.06.000000,,MAXADOOG
  LISTESIVICA,INACTIVE                            ,2019-01-25-16.17.24.000000,Inativando usuários que nao acessam o ambiente nos ultimos 6 meses,MAXADOOG
  LISTESIVICA,ACTIVE                              ,2017-06-29-17.58.08.000000,IR129277,MAXADOOG
  LIZALENCAR,NEWREG                              ,2025-09-24-17.12.02.000000,,ITEAM
  LIZALENCAR,ACTIVE                              ,2026-06-06-13.58.23.187000,,HELPDESK
  LIZALENCAR,INACTIVE                            ,2026-01-01-01.00.03.667000,Automatic Inativate expired user access,MAXADMIN
  LIZALENCAR,ACTIVE                              ,2025-09-24-17.21.19.000000,,ANDREGIACOMELI
  LMANHAES,NEWREG                              ,2024-04-30-15.45.06.000000,,MAXADMIN
  LMANHAES,INACTIVE                            ,2025-06-24-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LMANHAES,INACTIVE                            ,2025-02-20-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LMANHAES,ACTIVE                              ,2025-05-04-15.28.26.000000,,ANDREGIACOMELI
  LMANHAES,ACTIVE                              ,2024-11-11-15.44.22.000000,,JOSESANTOS
  LMANHAES,INACTIVE                            ,2024-07-02-06.00.09.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LMANHAES,ACTIVE                              ,2024-04-30-15.47.36.000000,,JOSESANTOS
  LMATTOS,NEWREG                              ,2024-02-10-20.00.36.000000,,MAXADMIN
  LMATTOS,INACTIVE                            ,2024-04-01-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LMATTOS,ACTIVE                              ,2024-02-10-20.14.09.000000,,ANDREGIACOMELI
  LNUNES,ACTIVE                              ,2014-05-06-14.31.31.000000,,MAXADMIN
  LNUNES,INACTIVE                            ,2019-01-25-16.17.24.000000,Inativando usuários que nao acessam o ambiente nos ultimos 6 meses,MAXADOOG
  LORENAGOES,NEWREG                              ,2024-05-10-13.43.46.000000,,MAXADMIN
  LOUINEBRAZ,NEWREG                              ,2026-01-13-19.01.04.271000,,ITEAM
  LOUINEBRAZ,INACTIVE                            ,2026-03-26-07.45.04.817000,Usuario inativo por mais de 50 dias,MAXADMIN
  LOUINEBRAZ,ACTIVE                              ,2026-01-13-19.02.26.724000,,ANDREGIACOMELI
  LPINHEIRO,NEWREG                              ,2026-07-02-15.08.05.420000,,MAXADMIN
  LPINHEIRO,ACTIVE                              ,2026-07-02-15.16.19.010000,,ANDREGIACOMELI
  LROCHA,INACTIVE                            ,2025-11-04-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LROCHA,NEWREG                              ,2025-09-04-07.21.36.000000,,ITEAM
  LROCHA,ACTIVE                              ,2025-09-04-07.27.32.000000,,ANDREGIACOMELI
  LUANALMEIDA,INACTIVE                            ,2024-07-02-01.00.01.000000,Automatic Inativate expired user access,MAXADMIN
  LUANALMEIDA,INACTIVE                            ,2024-07-05-01.00.02.000000,Automatic Inativate expired user access,MAXADMIN
  LUANALMEIDA,NEWREG                              ,2024-07-01-21.43.58.000000,,MAXADMIN
  LUANALMEIDA,ACTIVE                              ,2024-07-04-18.24.34.000000,,ANDREGIACOMELI
  LUANALMEIDA,INACTIVE                            ,2024-08-30-06.00.05.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUANALMEIDA,INACTIVE                            ,2024-07-06-01.00.02.000000,Automatic Inativate expired user access,MAXADMIN
  LUANALMEIDA,ACTIVE                              ,2024-07-01-21.50.32.000000,,ANDREGIACOMELI
  LUANALMEIDA,ACTIVE                              ,2024-07-08-17.43.31.000000,,MAXADOOG
  LUANALMEIDA,ACTIVE                              ,2024-07-05-19.43.09.000000,,ANDREGIACOMELI
  LUANAMENDES,ACTIVE                              ,2014-05-05-12.09.09.000000,,MAXADMIN
  LUANAMENDES,INACTIVE                            ,2018-09-03-09.13.37.000000,Ticket#016740 — Atualização de usuarios MAXIMO - Processo de inativação,RENANAVNER
  LUANAPEIXOTO,ACTIVE                              ,2025-05-12-11.52.47.000000,,ITEAM
  LUANAPEIXOTO,INACTIVE                            ,2026-04-07-07.45.03.288000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUANAPEIXOTO,ACTIVE                              ,2026-01-09-11.00.38.093000,Ticket#2026010829001167 — VINCULAR SISTEMA MAXIMO,ITEAM
  LUANAPEIXOTO,INACTIVE                            ,2025-07-04-06.00.13.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUANASILVA,INACTIVE                            ,2017-12-04-17.53.56.000000,,MAXADMIN
  LUANASILVA,ACTIVE                              ,2017-07-20-14.52.07.000000,,PAULOPARREIRA
  LUANCABRAL,ACTIVE                              ,2026-02-11-14.43.48.647000,,ITEAM
  LUANCABRAL,ACTIVE                              ,2026-06-26-18.44.06.104000,,MAXADMIN
  LUANCABRAL,BLOCKED                             ,2026-06-26-18.35.07.138000,,MAXADMIN
  LUANCABRAL,ACTIVE                              ,2026-05-14-19.20.19.622000,v,HELPDESK
  LUANCABRAL,INACTIVE                            ,2026-04-25-07.45.07.393000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUANCARD,ACTIVE                              ,2016-10-14-16.04.07.000000,,JULINECAETANO
  LUANCARD,ACTIVE                              ,2017-05-02-16.32.26.000000,,MAXADMIN
  LUANCARD,INACTIVE                            ,2017-03-20-14.48.41.000000,Saneamento usuário março/17,MAXADOOG
  LUANCARD,INACTIVE                            ,2019-06-17-15.14.24.000000,Ticket#084904 - Rescisão Contratual - 17/06/19,JULINECAETANO
  LUANCARD,ACTIVE                              ,2019-03-27-15.53.59.000000,,MAXADOOG
  LUANCARD,INACTIVE                            ,2019-01-25-16.17.24.000000,Inativando usuários que nao acessam o ambiente nos ultimos 6 meses,MAXADOOG
  LUANSANTOSS,INACTIVE                            ,2024-08-31-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUANSANTOSS,NEWREG                              ,2024-07-05-19.34.08.000000,,MAXADMIN
  LUANSANTOSS,ACTIVE                              ,2024-07-05-19.42.41.000000,,ANDREGIACOMELI
  LUANTHEOPHILO,ACTIVE                              ,2024-08-22-20.09.05.000000,,RAFAELLANA
  LUANTHEOPHILO,INACTIVE                            ,2024-11-20-06.00.05.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUANTHEOPHILO,NEWREG                              ,2024-08-22-19.56.55.000000,,MAXADMIN
  LUCASANGELIM,INACTIVE                            ,2023-09-05-18.14.01.000000,,ITEAM
  LUCASANGELIM,INACTIVE                            ,2023-12-08-05.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUCASANGELIM,ACTIVE                              ,2023-09-05-18.14.25.000000,,ITEAM
  LUCASARAUJO,ACTIVE                              ,2016-07-28-09.29.15.000000,,JULINECAETANO
  LUCASARAUJO,INACTIVE                            ,2018-02-23-14.32.10.000000,Integrante desligado em 22/02/18,JULINECAETANO
  LUCASBAKER,NEWREG                              ,2024-03-17-20.33.54.000000,,MAXADMIN
  LUCASBAKER,INACTIVE                            ,2024-05-20-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUCASBAKER,ACTIVE                              ,2024-03-17-20.38.22.000000,,ANDREGIACOMELI
  LUCASBRAGANCA,ACTIVE                              ,2023-12-29-18.23.26.000000,,MAXADOOG
  LUCASBRAGANCA,INACTIVE                            ,2024-02-18-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUCASBRUNIZO,NEWREG                              ,2025-06-11-10.12.04.000000,,ITEAM
  LUCASBRUNIZO,INACTIVE                            ,2026-03-26-07.45.02.251000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUCASBRUNIZO,ACTIVE                              ,2025-12-18-07.32.15.553000,,ANDREGIACOMELI
  LUCASBRUNIZO,ACTIVE                              ,2025-06-11-10.13.22.000000,,ANDREGIACOMELI
  LUCASBRUNIZO,INACTIVE                            ,2025-08-17-06.00.13.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUCASC,NEWREG                              ,2025-11-28-20.32.02.000000,,ITEAM
  LUCASC,ACTIVE                              ,2025-12-29-06.06.18.911000,,ANDREGIACOMELI
  LUCASC,INACTIVE                            ,2025-12-29-01.00.05.070000,Automatic Inativate expired user access,MAXADMIN
  LUCASC,ACTIVE                              ,2025-11-28-20.33.03.000000,,ANDREGIACOMELI
  LUCASCOSTA,ACTIVE                              ,2023-02-02-16.08.47.000000,,ITEAM
  LUCASCOSTA,INACTIVE                            ,2023-04-04-09.02.48.000000,Ticket#0286257,ITEAM
  LUCASCOUTO,NEWREG                              ,2024-03-11-07.53.37.000000,,MAXADMIN
  LUCASCOUTO,INACTIVE                            ,2024-05-14-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUCASCOUTO,ACTIVE                              ,2024-03-11-07.54.34.000000,,ANDREGIACOMELI
  LUCASDECARVALHO,NEWREG                              ,2025-02-18-19.29.03.000000,,MAXADMIN
  LUCASDOSANTOS,ACTIVE                              ,2025-09-12-10.24.41.000000,,RAFAELLANA
  LUCASDOSANTOS,INACTIVE                            ,2025-11-15-06.00.09.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUCASDOSANTOS,NEWREG                              ,2025-09-12-10.23.42.000000,,ITEAM
  LUCASFISCHER,ACTIVE                              ,2026-03-19-10.59.10.394000,,ITEAM
  LUCASG,NEWREG                              ,2025-08-09-08.06.44.000000,,ITEAM
  LUCASG,INACTIVE                            ,2025-09-29-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUCASG,ACTIVE                              ,2025-08-09-08.07.34.000000,,ANDREGIACOMELI
  LUCASHESPANHOL,INACTIVE                            ,2025-07-27-06.00.12.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUCASHESPANHOL,ACTIVE                              ,2025-05-20-10.10.34.000000,,ITEAM
  LUCASL,INACTIVE                            ,2025-11-16-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUCASL,ACTIVE                              ,2025-09-26-20.22.14.000000,,ANDREGIACOMELI
  LUCASL,NEWREG                              ,2025-09-26-20.21.30.000000,,ITEAM
  LUCASMACHADO,INACTIVE                            ,2023-07-20-13.34.14.000000,,ITEAM
  LUCASMANHAESSOUZA,ACTIVE                              ,2024-11-04-09.53.33.000000,,ITEAM
  LUCASMANHAESSOUZA,INACTIVE                            ,2024-12-25-06.00.05.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUCASMANHAESSOUZA,NEWREG                              ,2024-11-02-15.59.10.000000,,MAXADMIN
  LUCASMIRANDA,ACTIVE                              ,2024-09-19-08.48.58.000000,,ITEAM
  LUCASMIRANDA,INACTIVE                            ,2025-08-20-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUCASMIRANDA,ACTIVE                              ,2025-06-13-15.00.16.000000,,ITEAM
  LUCASMIRANDA,INACTIVE                            ,2025-03-05-06.00.05.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUCASMIRANDA,ACTIVE                              ,2025-01-10-15.12.24.000000,,ITEAM
  LUCASMIRANDA,INACTIVE                            ,2024-11-13-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUCASPESSANHA,NEWREG                              ,2026-04-07-08.48.58.064000,,MAXADMIN
  LUCASPESSANHA,INACTIVE                            ,2026-05-28-07.45.06.340000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUCASPESSANHA,ACTIVE                              ,2026-04-07-08.54.24.325000,,ANDREGIACOMELI
  LUCASPINHEIRO,ACTIVE                              ,2024-04-04-08.26.04.000000,,ITEAM
  LUCASPINHEIRO,INACTIVE                            ,2024-05-25-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUCASPORTES,ACTIVE                              ,2014-05-05-09.55.04.000000,,MAXADMIN
  LUCASPORTES,INACTIVE                            ,2016-11-30-15.30.01.000000,Desativando usuarios que nao fizeram login em 2016,MAXADOOG
  LUCASQUEIROZ,ACTIVE                              ,2024-03-25-09.32.40.000000,Ticket#0347692 — Terceiro não consegue acessar o maximo NORBE 6,ITEAM
  LUCASQUEIROZ,INACTIVE                            ,2025-02-12-06.00.05.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUCASQUEIROZ,INACTIVE                            ,2024-10-14-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUCASQUEIROZ,ACTIVE                              ,2024-11-12-06.54.46.000000,,JOSESANTOS
  LUCASQUEIROZ,BLOCKED                             ,2024-07-15-06.23.03.000000,,MAXADMIN
  LUCASQUEIROZ,ACTIVE                              ,2024-07-15-06.27.34.000000,,MAXADMIN
  LUCASQUEIROZ,NEWREG                              ,2024-03-25-08.27.48.000000,,MAXADMIN
  LUCASR,ACTIVE                              ,2025-08-03-16.10.40.000000,,ANDREGIACOMELI
  LUCASR,INACTIVE                            ,2025-09-03-01.00.11.000000,Automatic Inativate expired user access,MAXADMIN
  LUCASR,NEWREG                              ,2025-08-03-16.09.46.000000,,ITEAM
  LUCASRIBEIRO,ACTIVE                              ,2026-04-24-11.35.42.852000,,ITEAM
  LUCASSANTANA,ACTIVE                              ,2024-11-14-08.40.08.000000,,ITEAM
  LUCASSANTANA,INACTIVE                            ,2025-01-04-06.00.11.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUCASSILVADECARVALHO,NEWREG                              ,2024-08-28-14.46.16.000000,,MAXADMIN
