IBM Db2 Interactive CLI Sample Program (extração paginada)
> SELECT COALESCE(userid, '') || ',' || COALESCE(CHAR(status), '') || ',' || COALESCE(CHAR(changedate), '') || ',' || COALESCE(REPLACE(memo, ',', ';'), '') || ',' || COALESCE(changeby, '') as CSV_ROW FROM MAXUSERSTATUS;
FetchAll:  Columns: 1
  CSV_ROW 
  ABILIOPEDROSO,NEWREG                              ,2025-02-15-19.43.21.000000,,MAXADMIN
  JOAOBSILVA,NEWREG                              ,2024-11-29-19.50.00.000000,,MAXADMIN
  JOAOBSILVA,INACTIVE                            ,2026-05-23-07.45.03.339000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOAOCABRAL,NEWREG                              ,2024-03-20-19.51.44.000000,,MAXADMIN
  JOAOCABRAL,ACTIVE                              ,2024-03-20-19.52.29.000000,,RAPHAELBARBOSA
  JOAOCABRAL,INACTIVE                            ,2024-04-30-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  JOAOCAMPOS,ACTIVE                              ,2024-07-20-20.05.22.000000,,LUIZFELIPE
  JOAOCAMPOS,INACTIVE                            ,2024-09-16-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOAOCAMPOS,NEWREG                              ,2024-07-20-20.04.08.000000,,MAXADMIN
  JOAOCONSTANTINO,ACTIVE                              ,2025-10-19-19.19.33.000000,,RENATOSOARES
  JOAOCONSTANTINO,INACTIVE                            ,2026-03-26-07.45.01.491000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOAOCONSTANTINO,NEWREG                              ,2025-10-19-19.18.58.000000,,ITEAM
  JOAOCORDEIRO,ACTIVE                              ,2024-01-28-20.03.38.000000,,RAPHAELBARBOSA
  JOAOCORDEIRO,NEWREG                              ,2024-01-28-20.03.08.000000,,MAXADMIN
  JOAOCORDEIRO,INACTIVE                            ,2024-02-12-00.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  JOAOCOSTA,ACTIVE                              ,2013-12-06-16.25.40.000000,,MAXADMIN
  JOAOCOSTA,ACTIVE                              ,2017-05-18-08.34.04.000000,IR124338,HELPDESK
  JOAOCOSTA,BLOCKED                             ,2017-05-16-18.47.34.000000,,MAXADMIN
  JOAOCOSTA,ACTIVE                              ,2021-08-27-04.31.29.000000,,MAXADMIN
  JOAOCOSTA,ACTIVE                              ,2021-11-09-15.32.11.000000,,MAXADMIN
  JOAOCOSTA,BLOCKED                             ,2021-08-27-04.25.02.000000,,MAXADMIN
  JOAOCOSTA,ACTIVE                              ,2021-11-09-15.22.11.000000,,MAXADMIN
  JOAOCOSTA,BLOCKED                             ,2021-11-09-15.21.48.000000,,MAXADMIN
  JOAOCOSTA,ACTIVE                              ,2022-12-18-05.08.22.000000,,MAXADMIN
  JOAOCOSTA,BLOCKED                             ,2022-12-18-05.00.30.000000,,MAXADMIN
  JOAOCOSTA,BLOCKED                             ,2021-11-09-15.27.12.000000,,MAXADMIN
  JOAODAMASIO,NEWREG                              ,2026-03-01-14.16.20.791000,,MAXADMIN
  JOAODAMASIO,INACTIVE                            ,2026-04-23-07.45.02.814000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOAODAMASIO,ACTIVE                              ,2026-03-01-14.16.55.312000,,LUIZFELIPE
  JOAODASILVA,NEWREG                              ,2025-02-05-02.11.18.000000,,MAXADMIN
  JOAODASILVA,ACTIVE                              ,2025-02-05-02.11.52.000000,,LUIZFELIPE
  JOAODASILVA,INACTIVE                            ,2025-02-16-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  JOAODIVINO,ACTIVE                              ,2024-04-20-20.37.59.000000,,RAPHAELBARBOSA
  JOAODIVINO,INACTIVE                            ,2024-06-23-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOAODIVINO,NEWREG                              ,2024-04-20-20.36.53.000000,,MAXADMIN
  JOAODURANTE,NEWREG                              ,2026-05-21-19.28.28.240000,,MAXADMIN
  JOAODURANTE,ACTIVE                              ,2026-05-21-19.28.52.596000,,LUIZFELIPE
  JOAOFARIA,NEWREG                              ,2025-12-22-15.04.30.066000,,ITEAM
  JOAOFARIA,INACTIVE                            ,2026-03-26-07.45.02.721000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOAOFARIA,ACTIVE                              ,2025-12-22-15.05.00.478000,,RENATOSOARES
  JOAOFERNANDO,NEWREG                              ,2026-01-23-20.20.48.037000,,ITEAM
  JOAOFERNANDO,INACTIVE                            ,2026-03-26-07.45.03.103000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOAOFERNANDO,ACTIVE                              ,2026-01-23-20.22.03.501000,,LUIZFELIPE
  JOAOGERALDO,ACTIVE                              ,2025-07-07-19.38.12.000000,,RENATOSOARES
  JOAOGERALDO,INACTIVE                            ,2025-09-07-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOAOGERALDO,NEWREG                              ,2025-07-07-19.34.50.000000,,ITEAM
  JOAOGODIM,NEWREG                              ,2026-05-17-19.39.07.758000,,MAXADMIN
  JOAOGODIM,ACTIVE                              ,2026-05-17-19.40.07.766000,,LUIZFELIPE
  JOAOGRIPP,NEWREG                              ,2026-05-09-10.02.35.839000,,MAXADMIN
  JOAOGRIPP,ACTIVE                              ,2026-05-09-10.03.13.094000,,LUIZFELIPE
  JOAOGUILHERME,ACTIVE                              ,2026-05-18-19.37.39.405000,,LUIZFELIPE
  JOAOGUILHERME,INACTIVE                            ,2026-07-11-07.45.01.125000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOAOGUILHERME,NEWREG                              ,2026-05-18-19.32.04.539000,,MAXADMIN
  JOAOHENRIQUE,ACTIVE                              ,2023-10-26-14.37.17.000000,,ITEAM
  JOAOHENRIQUE,INACTIVE                            ,2026-04-18-07.45.01.951000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOAOHENRIQUE,ACTIVE                              ,2025-01-23-02.41.32.000000,,HELPDESK
  JOAOHENRIQUE,INACTIVE                            ,2024-05-18-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOAOHENRIQUE,ACTIVE                              ,2024-05-17-19.05.55.000000,0357141,HELPDESK
  JOAOHENRIQUE,INACTIVE                            ,2024-02-25-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOAOHENRIQUE,ACTIVE                              ,2024-01-08-18.55.56.000000,0334368,HELPDESK
  JOAOHENRIQUE,INACTIVE                            ,2023-12-16-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOAOHENRIQUES,ACTIVE                              ,2024-04-14-13.15.35.000000,,RAPHAELBARBOSA
  JOAOHENRIQUES,INACTIVE                            ,2024-05-14-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  JOAOHENRIQUES,NEWREG                              ,2024-04-14-13.13.44.000000,,MAXADMIN
  JOAOJESUS,NEWREG                              ,2025-06-02-19.43.04.000000,,ITEAM
  JOAOJESUS,INACTIVE                            ,2025-08-02-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOAOJESUS,ACTIVE                              ,2025-06-02-19.43.40.000000,,RENATOSOARES
  JOAOLADISLAU,ACTIVE                              ,2025-08-28-19.36.08.000000,,RENATOSOARES
  JOAOLADISLAU,INACTIVE                            ,2025-10-31-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOAOLADISLAU,NEWREG                              ,2025-08-28-19.35.34.000000,,ITEAM
  JOAOLEAL,ACTIVE                              ,2024-11-21-19.40.42.000000,,RENATOSOARES
  JOAOLEAL,INACTIVE                            ,2025-02-21-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOAOLEAL,NEWREG                              ,2024-11-21-19.39.30.000000,,MAXADMIN
  JOAOMANOEL,ACTIVE                              ,2024-12-10-09.41.00.000000,,LUIZFELIPE
  JOAOMANOEL,INACTIVE                            ,2025-02-05-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOAOMANOEL,NEWREG                              ,2024-12-10-09.40.40.000000,,MAXADMIN
  JOAOMARCIO,INACTIVE                            ,2024-09-09-18.03.35.000000,,MAXADOOG
  JOAOMARCIO,INACTIVE                            ,2026-06-07-07.45.02.607000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOAOMARCIO,ACTIVE                              ,2026-04-17-19.22.55.224000,,HELPDESK
  JOAOMARCIO,INACTIVE                            ,2025-10-30-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOAOMARCIO,ACTIVE                              ,2025-09-07-18.40.01.000000,2025090729000201,HELPDESK
  JOAOMARCIO,INACTIVE                            ,2025-05-13-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOAOMARCIO,ACTIVE                              ,2025-02-16-08.55.14.000000,2025021629000116,HELPDESK
  JOAOMARCIO,INACTIVE                            ,2024-10-30-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOAOMARCIO,ACTIVE                              ,2024-09-09-18.03.44.000000,,MAXADOOG
  JOAOMARCOS,NEWREG                              ,2026-01-15-19.43.50.279000,,ITEAM
  JOAOMARCOS,INACTIVE                            ,2026-03-26-07.45.03.022000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOAOMARCOS,ACTIVE                              ,2026-01-15-19.50.00.787000,,RENATOSOARES
  JOAOPAIVA,NEWREG                              ,2025-04-17-16.08.05.000000,,MAXADMIN
  JOAOPAIVA,INACTIVE                            ,2025-06-10-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOAOPAIVA,ACTIVE                              ,2025-04-17-16.10.24.000000,,LUIZFELIPE
  JOAOPEREIRANETO,NEWREG                              ,2024-05-09-19.40.46.000000,,MAXADMIN
  JOAOPGOMES,NEWREG                              ,2026-05-22-19.26.29.264000,,MAXADMIN
  JOAOPGOMES,ACTIVE                              ,2026-05-22-19.27.02.293000,,LUIZFELIPE
  JOAORIGO,ACTIVE                              ,2024-03-03-11.11.30.000000,,LUIZFELIPE
  JOAORIGO,INACTIVE                            ,2024-04-29-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOAORIGO,NEWREG                              ,2024-03-03-11.03.22.000000,,MAXADMIN
  JOAORISCADO,NEWREG                              ,2026-05-03-13.17.27.785000,,MAXADMIN
  JOAORISCADO,INACTIVE                            ,2026-05-18-01.00.01.554000,Automatic Inativate expired user access,MAXADMIN
  JOAORISCADO,ACTIVE                              ,2026-05-03-13.18.26.256000,,RENATOSOARES
  JOAOROSA,NEWREG                              ,2025-06-09-19.27.17.000000,,ITEAM
  JOAOROSA,INACTIVE                            ,2025-08-13-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOAOROSA,ACTIVE                              ,2025-06-09-19.32.47.000000,,RENATOSOARES
  JOAOVITORBARBOSA,ACTIVE                              ,2025-09-30-17.28.32.000000,,RENATOSOARES
  JOAOVITORBARBOSA,INACTIVE                            ,2025-11-20-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOAOVITORBARBOSA,NEWREG                              ,2025-09-30-17.27.55.000000,,ITEAM
  JOAOVITORGOMES,ACTIVE                              ,2025-01-12-07.20.09.000000,,RENATOSOARES
  JOAOVITORGOMES,NEWREG                              ,2025-01-12-07.19.12.000000,,MAXADMIN
  JOAOVITORGOMES,INACTIVE                            ,2025-01-25-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  JOAQUINMENDOZA,NEWREG                              ,2026-05-29-18.25.08.806000,,MAXADMIN
  JOAQUINMENDOZA,ACTIVE                              ,2026-05-29-18.25.50.251000,,RENATOSOARES
  JOCIANOMACIEL,NEWREG                              ,2025-12-30-13.14.11.624000,,ITEAM
  JOCIANOMACIEL,INACTIVE                            ,2026-04-12-07.45.01.932000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOCIANOMACIEL,ACTIVE                              ,2025-12-30-13.15.01.772000,,LUIZFELIPE
  JOELBARROS,INACTIVE                            ,2025-04-19-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOELBARROS,INACTIVE                            ,2026-03-26-07.45.01.375000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOELBARROS,ACTIVE                              ,2025-11-17-10.10.47.000000,,LUIZFELIPE
  JOELBARROS,INACTIVE                            ,2025-08-05-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOELBARROS,ACTIVE                              ,2025-06-13-20.16.06.000000,,LUIZFELIPE
  JOELBARROS,ACTIVE                              ,2025-02-26-20.07.29.000000,,LUIZFELIPE
  JOELBARROS,NEWREG                              ,2025-02-26-20.06.48.000000,,MAXADMIN
  JOELMIRARAUJO,INACTIVE                            ,2024-12-01-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOELMIRARAUJO,ACTIVE                              ,2024-10-11-20.32.09.000000,,LUIZFELIPE
  JOELMIRARAUJO,NEWREG                              ,2024-10-11-20.31.07.000000,,MAXADMIN
  JOELSONJUNIO,ACTIVE                              ,2024-03-30-17.04.00.000000,,LUIZFELIPE
  JOELSONJUNIO,INACTIVE                            ,2025-07-29-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOELSONJUNIO,NEWREG                              ,2025-06-03-19.44.50.000000,,ITEAM
  JOELSONJUNIO,ACTIVE                              ,2025-06-08-14.09.34.000000,,RENATOSOARES
  JOELSONJUNIO,NEWREG                              ,2024-03-30-17.03.14.000000,,MAXADMIN
  JOELSONJUNIO,INACTIVE                            ,2024-06-01-12.12.33.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOELSONSOUZA,ACTIVE                              ,2024-01-14-19.26.47.000000,,RAPHAELBARBOSA
  JOELSONSOUZA,INACTIVE                            ,2024-07-08-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOELSONSOUZA,INACTIVE                            ,2024-05-10-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOELSONSOUZA,ACTIVE                              ,2024-05-14-06.18.14.000000,Ticket#0356292,HELPDESK
  JOELSONSOUZA,ACTIVE                              ,2024-01-14-19.33.14.000000,,MAXADMIN
  JOELSONSOUZA,NEWREG                              ,2024-01-14-19.26.18.000000,,MAXADMIN
  JOELSONSOUZA,BLOCKED                             ,2024-01-14-19.30.28.000000,,MAXADMIN
  JOELTAVARES,INACTIVE                            ,2024-03-09-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOELTAVARES,INACTIVE                            ,2024-10-27-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOELTAVARES,INACTIVE                            ,2024-06-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOELTAVARES,ACTIVE                              ,2024-08-07-07.30.47.000000,Ticket#0369372 — Reset de senha MAXIMO.,HELPDESK
  JOELTAVARES,ACTIVE                              ,2024-04-08-08.02.48.000000,,HELPDESK
  JOELTAVARES,NEWREG                              ,2023-12-19-08.55.07.000000,,MAXADMIN
  JOELTAVARES,ACTIVE                              ,2023-12-19-08.55.24.000000,,RAPHAELBARBOSA
  JOHNATANFERREIRA,ACTIVE                              ,2025-05-18-19.39.51.000000,,LUIZFELIPE
  JOHNATANFERREIRA,ACTIVE                              ,2025-11-29-08.17.28.000000,,LUIZFELIPE
  JOHNATANFERREIRA,NEWREG                              ,2025-05-18-19.39.11.000000,,ITEAM
  JOHNATANFERREIRA,INACTIVE                            ,2025-07-21-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOHNNYCAMPISTA,NEWREG                              ,2025-08-17-10.33.51.000000,,ITEAM
  JOHNNYCAMPISTA,INACTIVE                            ,2026-03-26-07.45.01.420000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOHNNYCAMPISTA,ACTIVE                              ,2025-08-17-10.35.15.000000,,LUIZFELIPE
  JOHNSTONMAIA,NEWREG                              ,2025-12-25-15.38.39.151000,,ITEAM
  JOHNSTONMAIA,INACTIVE                            ,2026-05-17-07.45.04.155000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOHNSTONMAIA,ACTIVE                              ,2026-03-27-14.27.16.932000,,LUIZFELIPE
  JOHNSTONMAIA,INACTIVE                            ,2026-03-26-07.45.02.757000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOHNSTONMAIA,ACTIVE                              ,2025-12-25-15.39.33.967000,,LUIZFELIPE
  JOHNYSANTOS,NEWREG                              ,2024-05-06-19.33.56.000000,,MAXADMIN
  JOHNYSANTOS,INACTIVE                            ,2024-05-25-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  JOHNYSANTOS,ACTIVE                              ,2024-05-06-19.39.29.000000,,RAPHAELBARBOSA
  JOILSONFLOR,ACTIVE                              ,2025-05-29-20.23.59.000000,,RENATOSOARES
  JOILSONFLOR,NEWREG                              ,2025-05-29-20.22.11.000000,,ITEAM
  JOILSONFLOR,INACTIVE                            ,2025-07-27-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOIRSANTOS,NEWREG                              ,2024-09-07-15.47.17.000000,,MAXADMIN
  JOIRSANTOS,INACTIVE                            ,2025-01-28-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOIRSANTOS,ACTIVE                              ,2024-09-07-15.47.46.000000,,LUIZFELIPE
  JONASDASILVA,ACTIVE                              ,2024-05-27-19.21.18.000000,,LUIZFELIPE
  JONASDASILVA,INACTIVE                            ,2024-07-17-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JONASDASILVA,NEWREG                              ,2024-05-27-19.20.47.000000,,MAXADMIN
  JONASPARAVIDINO,ACTIVE                              ,2024-10-28-19.43.43.000000,,RENATOSOARES
  JONASPARAVIDINO,INACTIVE                            ,2024-12-29-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JONASPARAVIDINO,NEWREG                              ,2024-10-28-19.40.42.000000,,MAXADMIN
  JONASSANTOS,NEWREG                              ,2024-05-29-18.28.14.000000,,MAXADMIN
  JONASSANTOSS,NEWREG                              ,2024-05-29-18.28.22.000000,,MAXADMIN
  JONASSILVA,NEWREG                              ,2026-06-14-19.47.55.412000,,MAXADMIN
  JONASSILVA,ACTIVE                              ,2026-06-14-19.48.32.262000,,LUIZFELIPE
  JONASSSANTOS,NEWREG                              ,2024-05-29-18.31.59.000000,,MAXADMIN
  JONASSSANTOS,INACTIVE                            ,2024-07-21-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JONASSSANTOS,ACTIVE                              ,2024-05-29-18.32.38.000000,,RAPHAELBARBOSA
  JONATAAZEREDO,NEWREG                              ,2025-07-07-08.37.22.000000,,ITEAM
  JONATAAZEREDO,INACTIVE                            ,2025-09-10-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JONATAAZEREDO,ACTIVE                              ,2025-07-07-08.37.54.000000,,RENATOSOARES
  JONATAPINHEIRO,NEWREG                              ,2024-05-17-16.46.42.000000,,MAXADMIN
  JONATAPINHEIRO,INACTIVE                            ,2026-07-11-07.45.00.994000,Usuario inativo por mais de 50 dias,MAXADMIN
  JONATAPINHEIRO,ACTIVE                              ,2025-05-12-08.21.55.000000,,RENATOSOARES
  JONATAPINHEIRO,INACTIVE                            ,2025-04-19-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JONATAPINHEIRO,ACTIVE                              ,2024-05-17-16.47.23.000000,,RAPHAELBARBOSA
  JONATASPEDROSA,ACTIVE                              ,2018-10-24-17.16.32.000000,,MAXADMIN
  JONATASPEDROSA,INACTIVE                            ,2019-09-06-16.28.14.000000,,MAXADOOG
  JONATASRAMOS,NEWREG                              ,2025-11-19-19.14.14.000000,,ITEAM
  JONATASRAMOS,INACTIVE                            ,2026-03-26-07.45.01.586000,Usuario inativo por mais de 50 dias,MAXADMIN
  JONATASRAMOS,ACTIVE                              ,2025-11-19-19.14.59.000000,,RENATOSOARES
  JONESSALES,NEWREG                              ,2025-03-15-20.56.13.000000,,MAXADMIN
  JONESSALES,INACTIVE                            ,2025-05-11-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JONESSALES,ACTIVE                              ,2025-03-15-20.57.00.000000,,RENATOSOARES
  JONHFABIO,NEWREG                              ,2024-06-09-20.51.36.000000,,MAXADMIN
  JONIANOLIVEIRA,NEWREG                              ,2025-05-16-19.46.45.000000,,ITEAM
  JONIANOLIVEIRA,INACTIVE                            ,2025-07-19-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JONIANOLIVEIRA,ACTIVE                              ,2025-05-16-19.47.46.000000,,LUIZFELIPE
  JONNYSILVA,ACTIVE                              ,2017-05-11-07.34.37.000000,,JULINECAETANO
  JONNYSILVA,INACTIVE                            ,2018-04-25-11.45.35.000000,Ticket#08685 DATA DE DESLIGAMENTO : 19/04/2018,MAXADMIN
  JORGECARRILHO,NEWREG                              ,2025-02-23-20.34.08.000000,,MAXADMIN
  JORGECARRILHO,INACTIVE                            ,2025-04-17-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JORGECARRILHO,ACTIVE                              ,2025-02-23-20.34.48.000000,,LUIZFELIPE
  JORGEFERNANDES,ACTIVE                              ,2013-12-06-12.22.07.000000,,MAXADMIN
  JORGEFERNANDES,INACTIVE                            ,2016-12-01-10.01.04.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  JORGEFERREIRAA,NEWREG                              ,2024-05-27-20.15.07.000000,,MAXADMIN
  JORGEFERREIRAA,INACTIVE                            ,2024-07-20-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JORGEFERREIRAA,ACTIVE                              ,2024-05-27-20.15.48.000000,,LUIZFELIPE
  JORGEIGNEZ,NEWREG                              ,2026-01-19-18.13.00.670000,,ITEAM
  JORGEIGNEZ,INACTIVE                            ,2026-03-26-07.45.03.085000,Usuario inativo por mais de 50 dias,MAXADMIN
  JORGEIGNEZ,ACTIVE                              ,2026-01-19-22.44.49.059000,,RENATOSOARES
  JORGENETO,ACTIVE                              ,2024-02-28-18.30.15.000000,,MAXADOOG
  JORGENETO,ACTIVE                              ,2024-10-13-04.32.36.000000,,HELPDESK
  JORGENETO,BLOCKED                             ,2024-04-02-07.13.08.000000,,MAXADMIN
  JORGENETO,ACTIVE                              ,2024-04-02-07.21.04.000000,,MAXADMIN
  JORGENETO,INACTIVE                            ,2024-05-23-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JORGEPAULO,ACTIVE                              ,2024-03-19-19.09.44.000000,,RAPHAELBARBOSA
  JORGEPAULO,INACTIVE                            ,2024-05-11-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JORGEPAULO,NEWREG                              ,2024-03-19-19.08.51.000000,,MAXADMIN
  JORGEPONTES,NEWREG                              ,2025-06-07-14.06.52.000000,,ITEAM
  JORGEPONTES,INACTIVE                            ,2025-08-04-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JORGEPONTES,ACTIVE                              ,2025-06-07-14.07.21.000000,,LUIZFELIPE
  JORGEYANEZ,NEWREG                              ,2024-09-30-19.38.46.000000,,MAXADMIN
  JORGEYANEZ,INACTIVE                            ,2024-10-30-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  JORGEYANEZ,ACTIVE                              ,2024-09-30-19.46.58.000000,,RAPHAELBARBOSA
  JOSEABREU,NEWREG                              ,2026-05-31-08.46.08.943000,,MAXADMIN
  JOSEABREU,INACTIVE                            ,2026-07-09-01.00.01.760000,Automatic Inativate expired user access,MAXADMIN
  JOSEABREU,ACTIVE                              ,2026-07-08-15.55.56.331000,,RENATOSOARES
  JOSEABREU,INACTIVE                            ,2026-07-08-01.00.01.728000,Automatic Inativate expired user access,MAXADMIN
  JOSEABREU,ACTIVE                              ,2026-07-07-11.00.26.981000,,RENATOSOARES
  JOSEABREU,INACTIVE                            ,2026-07-07-01.00.01.699000,Automatic Inativate expired user access,MAXADMIN
  JOSEABREU,ACTIVE                              ,2026-07-06-19.58.48.439000,,RENATOSOARES
  JOSEABREU,INACTIVE                            ,2026-06-28-01.00.04.306000,Automatic Inativate expired user access,MAXADMIN
  JOSEABREU,ACTIVE                              ,2026-06-27-14.20.18.660000,,RENATOSOARES
  JOSEABREU,INACTIVE                            ,2026-06-15-01.00.02.077000,Automatic Inativate expired user access,MAXADMIN
  JOSEABREU,ACTIVE                              ,2026-05-31-08.46.50.997000,,RENATOSOARES
  JOSEANTONIO,NEWREG                              ,2024-07-17-19.40.53.000000,,MAXADMIN
  JOSEANTONIO,INACTIVE                            ,2025-02-14-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOSEANTONIO,ACTIVE                              ,2024-12-13-19.48.50.000000,,RENATOSOARES
  JOSEANTONIO,ACTIVE                              ,2024-07-17-19.45.05.000000,,LUIZFELIPE
  JOSEANTONIO,INACTIVE                            ,2024-09-06-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOSEBRITO,ACTIVE                              ,2024-09-20-11.09.41.000000,,ITEAM
  JOSEBRITO,ACTIVE                              ,2026-05-27-14.34.49.864000,,MAXADMIN
  JOSEBRITO,BLOCKED                             ,2026-05-27-14.30.01.996000,,MAXADMIN
  JOSEBRITO,ACTIVE                              ,2026-04-05-08.16.51.208000,,MAXADMIN
  JOSEBRITO,BLOCKED                             ,2026-04-05-08.16.31.151000,,MAXADMIN
  JOSEBRITO,ACTIVE                              ,2025-11-25-19.21.52.000000,,HELPDESK
  JOSEBRITO,ACTIVE                              ,2025-08-26-10.46.41.000000,Ticket#2025082629000588,HELPDESK
  JOSEBRITO,INACTIVE                            ,2025-10-19-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOSEBRITO,INACTIVE                            ,2025-07-30-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOSEBRITO,ACTIVE                              ,2025-01-10-17.10.48.000000,2025011029001039,HELPDESK
  JOSEBRITO,INACTIVE                            ,2024-12-16-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOSECARLOS,ACTIVE                              ,2025-01-06-06.49.30.000000,,LUIZFELIPE
  JOSECARLOS,INACTIVE                            ,2026-06-13-07.45.03.213000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOSECARLOS,ACTIVE                              ,2026-04-23-15.26.25.730000,,LUIZFELIPE
  JOSECARLOS,NEWREG                              ,2025-01-06-06.49.09.000000,,MAXADMIN
  JOSECARLOS,INACTIVE                            ,2025-03-30-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOSECBARCELOS,NEWREG                              ,2026-03-29-00.31.03.157000,,MAXADMIN
  JOSECBARCELOS,INACTIVE                            ,2026-05-26-07.45.02.545000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOSECBARCELOS,ACTIVE                              ,2026-03-29-00.31.38.670000,,LUIZFELIPE
  JOSECLAUDIO,NEWREG                              ,2025-06-08-10.52.11.000000,,ITEAM
  JOSECLAUDIO,INACTIVE                            ,2025-08-04-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  JOSECLAUDIO,ACTIVE                              ,2025-06-08-10.55.01.000000,,RENATOSOARES
  JOSECORTES,INACTIVE                            ,2017-06-26-11.57.43.000000,,MAXADOOG
  JOSECORTES,ACTIVE                              ,2017-02-14-11.09.19.000000,,MAXADOOG
  JOSECOSTA,NEWREG                              ,2024-02-22-08.58.45.000000,,MAXADMIN
  JOSECOSTA,INACTIVE                            ,2024-03-07-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  JOSECOSTA,ACTIVE                              ,2024-02-22-08.59.27.000000,,RAPHAELBARBOSA
