IBM Db2 Interactive CLI Sample Program (extração paginada)
> SELECT COALESCE(userid, '') || ',' || COALESCE(CHAR(status), '') || ',' || COALESCE(CHAR(changedate), '') || ',' || COALESCE(REPLACE(memo, ',', ';'), '') || ',' || COALESCE(changeby, '') as CSV_ROW FROM MAXUSERSTATUS;
FetchAll:  Columns: 1
  CSV_ROW 
  AAMEDEIROS,NEWREG                              ,2024-06-10-09.34.18.000000,,MAXADMIN
  LUISCHICO,ACTIVE                              ,2024-07-09-10.04.05.000000,,FELIPEPAIXAO
  LUISF,ACTIVE                              ,2024-07-09-09.53.20.000000,,FELIPEPAIXAO
  LUISF,NEWREG                              ,2024-07-09-09.52.11.000000,,MAXADMIN
  LUISF,INACTIVE                            ,2024-08-29-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUISFELIPESANTOS,NEWREG                              ,2024-06-08-08.11.27.000000,,MAXADMIN
  LUISFELIPESANTOS,INACTIVE                            ,2024-06-09-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  LUISFELIPESANTOS,ACTIVE                              ,2024-06-08-13.58.46.000000,,SINVALJUNIOR
  LUISFERNANDOL,NEWREG                              ,2024-06-08-13.52.56.000000,,MAXADMIN
  LUISFILGUEIRASSILVA,ACTIVE                              ,2024-07-27-15.02.31.000000,,FELIPEPAIXAO
  LUISFILGUEIRASSILVA,INACTIVE                            ,2024-09-16-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUISFILGUEIRASSILVA,NEWREG                              ,2024-07-27-15.01.52.000000,,MAXADMIN
  LUISFR,ACTIVE                              ,2024-06-08-13.57.25.000000,,SINVALJUNIOR
  LUISFR,INACTIVE                            ,2024-08-08-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUISFR,BLOCKED                             ,2024-06-16-06.07.26.000000,,MAXADMIN
  LUISFR,NEWREG                              ,2024-06-08-13.55.25.000000,,MAXADMIN
  LUISFR,ACTIVE                              ,2024-06-16-06.11.19.000000,,MAXADMIN
  LUISFRANCISCOR,NEWREG                              ,2024-07-09-09.46.43.000000,,MAXADMIN
  LUISFRANCISCORIBEIRO,NEWREG                              ,2024-07-09-09.46.05.000000,,MAXADMIN
  LUISFSOUSA,INACTIVE                            ,2024-06-10-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  LUISFSOUSA,NEWREG                              ,2024-06-09-08.33.58.000000,,MAXADMIN
  LUISFSOUSA,ACTIVE                              ,2024-06-09-08.34.33.000000,,SINVALJUNIOR
  LUISMELO,ACTIVE                              ,2023-10-24-13.27.08.000000,,ITEAM
  LUISMELO,ACTIVE                              ,2026-02-08-01.58.28.274000,,HELPDESK
  LUISMELO,INACTIVE                            ,2025-09-17-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUISMELO,BLOCKED                             ,2025-05-04-07.59.16.000000,,MAXADMIN
  LUISMELO,ACTIVE                              ,2025-05-06-19.57.59.000000,,MAXADMIN
  LUISMELO,ACTIVE                              ,2025-03-18-10.17.04.000000,,ITEAM
  LUISMELO,INACTIVE                            ,2024-06-08-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUISMELO,BLOCKED                             ,2024-02-18-18.57.58.000000,,MAXADMIN
  LUISMELO,ACTIVE                              ,2024-02-18-19.02.33.000000,,MAXADMIN
  LUISRAMOSF,NEWREG                              ,2024-06-18-13.03.42.000000,,MAXADMIN
  LUISRIBEIRO,NEWREG                              ,2024-07-09-09.41.09.000000,,MAXADMIN
  LUISRIBEIRO,ACTIVE                              ,2024-07-09-09.54.40.000000,,FELIPEPAIXAO
  LUISRIBEIRO,INACTIVE                            ,2024-07-10-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  LUISSOUSA,NEWREG                              ,2023-12-08-09.53.16.000000,,MAXADMIN
  LUISSOUSA,INACTIVE                            ,2024-06-02-14.47.42.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUISSOUSA,ACTIVE                              ,2023-12-08-09.53.50.000000,,SINVALJUNIOR
  LUISTRAVASSO,ACTIVE                              ,2026-01-19-21.00.55.891000,,MAXADOOG
  LUISTRAVASSO,ACTIVE                              ,2026-05-14-20.59.33.879000,2026051429001479,HELPDESK
  LUISTRAVASSO,INACTIVE                            ,2026-04-09-07.45.00.628000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUISTRAVASSO,ACTIVE                              ,2026-01-30-05.11.32.557000,,HELPDESK
  LUISTRAVASSO,BLOCKED                             ,2026-01-30-05.06.02.247000,,MAXADMIN
  LUISTRAVASSO,ACTIVE                              ,2026-01-20-18.41.12.734000,Ticket#2026012029000877,HELPDESK
  LUISTRAVASSO,BLOCKED                             ,2026-01-20-18.33.48.864000,,MAXADMIN
  LUISVITOR,ACTIVE                              ,2014-03-25-16.24.56.000000,,MAXADMIN
  LUISVITOR,INACTIVE                            ,2017-07-12-13.39.22.000000,,MAXADMIN
  LUIZ,NEWREG                              ,2026-06-02-13.47.28.693000,,MAXADMIN
  LUIZ,ACTIVE                              ,2026-06-02-13.48.19.934000,,FELIPEPAIXAO
  LUIZAUGUSTO,ACTIVE                              ,2014-03-26-11.30.50.000000,,MAXADMIN
  LUIZAUGUSTO,INACTIVE                            ,2016-12-01-11.44.23.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  LUIZCHAVES,ACTIVE                              ,2024-12-20-18.21.33.000000,,FELIPEPAIXAO
  LUIZCHAVES,INACTIVE                            ,2025-02-09-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZCHAVES,NEWREG                              ,2024-12-20-18.19.07.000000,,MAXADMIN
  LUIZDACOSTA,ACTIVE                              ,2025-03-14-08.35.10.000000,,MAXADOOG
  LUIZDACOSTA,ACTIVE                              ,2026-05-26-08.17.04.721000,Ticket#2026052629000135,HELPDESK
  LUIZDACOSTA,BLOCKED                             ,2026-05-26-08.10.53.865000,,MAXADMIN
  LUIZDACOSTA,ACTIVE                              ,2026-05-26-08.08.44.348000,,MAXADMIN
  LUIZDACOSTA,BLOCKED                             ,2026-05-26-08.07.15.691000,,MAXADMIN
  LUIZDACOSTA,ACTIVE                              ,2026-05-25-09.58.42.682000,,MAXADMIN
  LUIZDACOSTA,BLOCKED                             ,2026-05-25-09.56.18.815000,,MAXADMIN
  LUIZDACOSTA,ACTIVE                              ,2026-04-20-14.52.11.694000,Ticket#2026041929000043 — Login Maximo / LUIZ HENRIQUE ARAUJO DA COSTA,ITEAM
  LUIZDACOSTA,INACTIVE                            ,2025-05-06-19.58.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZDEPAULA,NEWREG                              ,2025-05-11-06.54.42.000000,,ITEAM
  LUIZDEPAULA,INACTIVE                            ,2025-06-10-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  LUIZDEPAULA,ACTIVE                              ,2025-05-11-07.31.15.000000,,FELIPEPAIXAO
  LUIZFELIPE,ACTIVE                              ,2014-03-26-09.51.47.000000,,MAXADMIN
  LUIZFELIPE,INACTIVE                            ,2016-11-23-17.10.21.000000,SR107985,JULINECAETANO
  LUIZFERDINANDO,ACTIVE                              ,2014-03-25-17.43.21.000000,,MAXADMIN
  LUIZFERDINANDO,INACTIVE                            ,2016-12-01-11.44.23.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  LUIZFSANTOS,ACTIVE                              ,2020-03-16-19.44.41.000000,,MAXADMIN
  LUIZFSANTOS,INACTIVE                            ,2026-03-26-07.45.00.365000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZFSANTOS,ACTIVE                              ,2025-01-16-20.00.55.000000,,MAXADMIN
  LUIZFSANTOS,BLOCKED                             ,2025-01-16-19.58.38.000000,,MAXADMIN
  LUIZG,INACTIVE                            ,2024-09-05-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZG,NEWREG                              ,2024-07-14-05.57.46.000000,,MAXADMIN
  LUIZG,ACTIVE                              ,2024-07-14-05.58.40.000000,,SINVALJUNIOR
  LUIZGGUILHER,INACTIVE                            ,2025-09-14-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZGGUILHER,ACTIVE                              ,2025-07-13-06.13.14.000000,,SINVALJUNIOR
  LUIZGGUILHER,NEWREG                              ,2025-07-13-06.12.14.000000,,ITEAM
  LUIZGUILHERMEAUGUSTO,INACTIVE                            ,2024-06-21-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZGUILHERMEAUGUSTO,NEWREG                              ,2025-07-12-10.50.57.000000,,ITEAM
  LUIZGUILHERMEAUGUSTO,ACTIVE                              ,2024-05-12-07.29.01.000000,,FELIPEPAIXAO
  LUIZGUILHERMEAUGUSTO,NEWREG                              ,2024-05-01-06.13.54.000000,,MAXADMIN
  LUIZGUILHERMEE,ACTIVE                              ,2024-05-01-06.26.38.000000,,FELIPEPAIXAO
  LUIZGUILHERMEE,INACTIVE                            ,2025-07-04-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZGUILHERMEE,NEWREG                              ,2024-05-01-06.25.56.000000,,MAXADMIN
  LUIZGUILHERMESILVA,ACTIVE                              ,2024-03-21-08.34.01.000000,,FELIPEPAIXAO
  LUIZGUILHERMESILVA,NEWREG                              ,2025-07-12-10.47.58.000000,,ITEAM
  LUIZGUILHERMESILVA,NEWREG                              ,2024-03-21-08.33.07.000000,,MAXADMIN
  LUIZGUILHERMESILVA,INACTIVE                            ,2024-04-04-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  LUIZGUILHERMESILVAA,NEWREG                              ,2024-05-01-06.18.33.000000,,MAXADMIN
  LUIZGUS,ACTIVE                              ,2024-07-16-08.54.39.000000,,SINVALJUNIOR
  LUIZGUS,INACTIVE                            ,2024-09-10-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZGUS,NEWREG                              ,2024-07-16-08.53.16.000000,,MAXADMIN
  LUIZHMATOS,ACTIVE                              ,2025-06-04-09.26.05.000000,,FELIPEPAIXAO
  LUIZHMATOS,INACTIVE                            ,2025-07-26-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZHMATOS,NEWREG                              ,2025-06-04-09.14.21.000000,,ITEAM
  LUIZJANUARIO,ACTIVE                              ,2024-01-13-16.37.17.000000,,FELIPEPAIXAO
  LUIZJANUARIO,NEWREG                              ,2026-01-07-07.59.50.686000,,ITEAM
  LUIZJANUARIO,INACTIVE                            ,2024-01-28-00.00.01.000000,Automatic Inativate expired user access,MAXADMIN
  LUIZJANUARIO,NEWREG                              ,2024-01-13-10.41.54.000000,,MAXADMIN
  LUIZLEDOINO,ACTIVE                              ,2025-05-18-06.24.16.000000,,SINVALJUNIOR
  LUIZLEDOINO,ACTIVE                              ,2025-05-02-07.59.42.000000,,FELIPEPAIXAO
  LUIZLEDOINO,INACTIVE                            ,2025-05-18-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  LUIZLEDOINO,NEWREG                              ,2025-05-02-07.20.58.000000,,ITEAM
  LUIZLEDOINO,INACTIVE                            ,2025-05-19-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  LUIZMONTEIRO,ACTIVE                              ,2022-02-21-10.48.25.000000,Ticket#0229723,ITEAM
  LUIZMONTEIRO,INACTIVE                            ,2026-07-10-07.45.01.233000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZMONTEIRO,INACTIVE                            ,2023-07-11-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZMONTEIRO,ACTIVE                              ,2023-09-14-10.27.43.000000,,MAXADOOG
  LUIZMONTEIRO,INACTIVE                            ,2022-04-15-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZMONTEIRO,INACTIVE                            ,2022-01-23-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZMONTEIRO,ACTIVE                              ,2021-12-03-08.59.11.000000,,ITEAM
  LUIZMONTEIRO,INACTIVE                            ,2021-10-20-11.18.21.000000,,ITEAM
  LUIZMONTEIRO,ACTIVE                              ,2021-10-20-09.49.59.000000,,ITEAM
  LUIZMONTEIRO,ACTIVE                              ,2022-06-19-17.41.46.000000,,MAXADMIN
  LUIZMONTEIRO,BLOCKED                             ,2022-06-19-17.37.49.000000,,MAXADMIN
  LUIZMONTEIRO,ACTIVE                              ,2022-06-18-08.09.54.000000,,MAXADMIN
  LUIZMONTEIRO,BLOCKED                             ,2022-06-18-08.04.19.000000,,MAXADMIN
  LUIZMONTEIRO,ACTIVE                              ,2022-06-17-14.49.54.000000,,MAXADMIN
  LUIZMONTEIRO,BLOCKED                             ,2022-06-17-14.43.21.000000,,MAXADMIN
  LUIZMONTEIRO,ACTIVE                              ,2022-04-20-13.07.02.000000,Ticket#0235805 — PROBLEMAS DE ACESSO AO MAXIMO - USUÁRIO LUIZ FERNANDO LUCAS MONTEIRO,ITEAM
  LUIZPSANTOS,ACTIVE                              ,2024-07-01-17.45.31.000000,,MAXADOOG
  LUIZPSANTOS,ACTIVE                              ,2026-06-18-18.38.36.385000,,MAXADMIN
  LUIZPSANTOS,BLOCKED                             ,2026-06-18-18.29.10.803000,,MAXADMIN
  LUIZPSANTOS,ACTIVE                              ,2026-05-21-18.29.33.213000,,HELPDESK
  LUIZPSANTOS,INACTIVE                            ,2026-04-27-07.45.00.834000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZPSANTOS,ACTIVE                              ,2025-01-15-22.26.59.000000,2025011529001315,HELPDESK
  LUIZPSANTOS,BLOCKED                             ,2025-01-15-22.23.14.000000,,MAXADMIN
  LUIZPSANTOS,ACTIVE                              ,2024-10-16-14.48.39.000000,,MAXADOOG
  LUIZPSANTOS,INACTIVE                            ,2024-09-15-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  LUIZPSANTOS,ACTIVE                              ,2024-09-14-07.11.15.000000,0373269,HELPDESK
  LUIZPSANTOS,INACTIVE                            ,2024-07-04-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  LUIZPSANTOS,NEWREG                              ,2024-06-24-05.35.10.000000,,MAXADMIN
  LUIZSAMPORO,NEWREG                              ,2026-01-23-15.21.51.350000,,ITEAM
  LUIZSAMPORO,INACTIVE                            ,2026-03-26-07.45.01.569000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZSAMPORO,ACTIVE                              ,2026-01-23-15.24.42.120000,,SINVALJUNIOR
  LUIZSANTOS,ACTIVE                              ,2017-07-11-14.33.02.000000,,PAULOPARREIRA
  LUIZSANTOS,INACTIVE                            ,2021-02-26-08.45.15.000000,Usuarios sem acessar o sistema,MAXADOOG
  LUIZTEIXEIRA,ACTIVE                              ,2024-08-07-14.54.18.000000,,ITEAM
  LUIZTEIXEIRA,INACTIVE                            ,2024-10-04-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZVITOR,ACTIVE                              ,2016-04-25-16.44.48.000000,,JULINECAETANO
  LUIZVITOR,INACTIVE                            ,2016-12-01-11.44.23.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  LUIZVITORINO,ACTIVE                              ,2025-05-22-13.38.21.000000,,SINVALJUNIOR
  LUIZVITORINO,INACTIVE                            ,2025-07-12-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZVITORINO,NEWREG                              ,2025-05-22-11.55.49.000000,,ITEAM
  LUKASZLUKASZUK,ACTIVE                              ,2014-03-26-11.46.53.000000,,MAXADMIN
  LUKASZLUKASZUK,INACTIVE                            ,2016-12-01-11.44.23.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  LVITOR,ACTIVE                              ,2014-06-18-14.06.32.000000,,MAXADMIN
  LVITOR,INACTIVE                            ,2017-06-26-12.06.50.000000,,MAXADOOG
  MACELOSMENEZES,ACTIVE                              ,2025-04-20-12.38.44.000000,,SINVALJUNIOR
  MACELOSMENEZES,INACTIVE                            ,2025-06-28-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  MACELOSMENEZES,NEWREG                              ,2025-04-20-12.37.18.000000,,MAXADMIN
  MACIELLAURINDO,NEWREG                              ,2025-02-10-20.29.34.000000,,MAXADMIN
  MACIELLAURINDO,INACTIVE                            ,2025-04-14-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MACIELLAURINDO,ACTIVE                              ,2025-02-10-20.30.34.000000,,FELIPEPAIXAO
  MAFONSECA,BLOCKED                             ,2024-06-16-14.22.36.000000,,MAXADMIN
  MAFONSECA,INACTIVE                            ,2024-08-07-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MAFONSECA,ACTIVE                              ,2024-06-16-14.21.19.000000,,MAXADMIN
  MAFONSECA,ACTIVE                              ,2024-06-16-14.31.19.000000,,MAXADMIN
  MAFONSECA,BLOCKED                             ,2024-06-16-14.14.55.000000,,MAXADMIN
  MAFONSECA,ACTIVE                              ,2024-06-15-18.29.40.000000,,SINVALJUNIOR
  MAFONSECA,NEWREG                              ,2024-06-15-18.29.00.000000,,MAXADMIN
  MAGNOEVAGELISTA,NEWREG                              ,2025-04-20-10.01.19.000000,,MAXADMIN
  MAGNOEVAGELISTA,INACTIVE                            ,2025-06-30-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  MAGNOEVAGELISTA,ACTIVE                              ,2025-04-20-10.02.04.000000,,SINVALJUNIOR
  MAGNOGOMES,ACTIVE                              ,2024-01-17-14.05.11.000000,,ITEAM
  MAGNOGOMES,INACTIVE                            ,2025-04-09-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MAGNOGOMES,ACTIVE                              ,2025-02-17-10.02.46.000000,2025021729000169,HELPDESK
  MAGNOGOMES,INACTIVE                            ,2024-10-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MAGNOGOMES,ACTIVE                              ,2024-09-04-13.39.16.000000,,HELPDESK
  MAGNOGOMES,INACTIVE                            ,2024-06-11-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MAGNOGOMES,ACTIVE                              ,2024-06-10-11.26.24.000000,0360585,HELPDESK
  MAGNOGOMES,INACTIVE                            ,2024-04-12-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MAGNOVIANA,NEWREG                              ,2024-11-05-21.16.24.000000,,MAXADMIN
  MAGNOVIANA,INACTIVE                            ,2025-01-29-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MAGNOVIANA,ACTIVE                              ,2024-11-05-21.16.50.000000,,SINVALJUNIOR
  MAICONBARRETO,NEWREG                              ,2024-06-21-15.45.37.000000,,MAXADMIN
  MAICONBARRETO,INACTIVE                            ,2024-08-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MAICONBARRETO,ACTIVE                              ,2024-06-21-15.58.33.000000,,SINVALJUNIOR
  MAICONMARCELO,NEWREG                              ,2026-04-27-10.28.22.166000,,MAXADMIN
  MAICONMARCELO,INACTIVE                            ,2026-06-17-07.45.01.443000,Usuario inativo por mais de 50 dias,MAXADMIN
  MAICONMARCELO,ACTIVE                              ,2026-04-27-10.29.10.457000,,SINVALJUNIOR
  MAICONROCHA,ACTIVE                              ,2026-03-03-15.35.56.343000,,ITEAM
  MAICONROCHA,INACTIVE                            ,2026-04-24-07.45.00.603000,Usuario inativo por mais de 50 dias,MAXADMIN
  MAIKNOLASCO,NEWREG                              ,2025-02-07-22.15.58.000000,,MAXADMIN
  MAIKNOLASCO,INACTIVE                            ,2025-04-10-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MAIKNOLASCO,ACTIVE                              ,2025-02-07-22.16.22.000000,,FELIPEPAIXAO
  MAIKONPINTO,NEWREG                              ,2025-05-24-16.05.04.000000,,ITEAM
  MAIKONPINTO,ACTIVE                              ,2025-05-24-16.05.42.000000,,SINVALJUNIOR
  MAIKONPINTO,INACTIVE                            ,2025-06-15-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  MAINKONP,NEWREG                              ,2025-05-15-15.49.05.000000,,ITEAM
  MAINKONP,INACTIVE                            ,2025-06-21-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  MAINKONP,ACTIVE                              ,2025-05-15-15.50.19.000000,,SINVALJUNIOR
  MALUSILVA,ACTIVE                              ,2024-12-17-08.57.49.000000,,FELIPEPAIXAO
  MALUSILVA,INACTIVE                            ,2024-12-30-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  MALUSILVA,NEWREG                              ,2024-12-17-08.57.17.000000,,MAXADMIN
  MANHAESPATRICK,NEWREG                              ,2025-03-30-06.02.01.000000,,MAXADMIN
  MANOELINOPEREIRA,NEWREG                              ,2025-04-24-19.25.53.000000,,MAXADMIN
  MANOELINOPEREIRA,INACTIVE                            ,2025-06-14-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MANOELINOPEREIRA,ACTIVE                              ,2025-04-24-19.26.47.000000,,SINVALJUNIOR
  MANUELNETO,NEWREG                              ,2024-08-15-15.42.44.000000,,MAXADMIN
  MANUELNETO,INACTIVE                            ,2024-08-24-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  MANUELNETO,ACTIVE                              ,2024-08-15-15.43.41.000000,,SINVALJUNIOR
  MARAVILHAALEXANDER,ACTIVE                              ,2024-12-11-18.02.14.000000,,SINVALJUNIOR
  MARAVILHAALEXANDER,INACTIVE                            ,2025-02-16-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MARAVILHAALEXANDER,NEWREG                              ,2024-12-11-18.01.34.000000,,MAXADMIN
  MARCELAARAUJO,NEWREG                              ,2023-09-20-15.39.45.000000,,MAXADMIN
  MARCELAARAUJO,INACTIVE                            ,2024-01-27-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MARCELAARAUJO,ACTIVE                              ,2023-12-07-14.26.56.000000,,SINVALJUNIOR
  MARCELAMARAL,NEWREG                              ,2025-05-03-11.15.13.000000,,ITEAM
  MARCELAMARAL,INACTIVE                            ,2025-06-26-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MARCELAMARAL,ACTIVE                              ,2025-05-03-13.34.54.000000,,FELIPEPAIXAO
  MARCELLOCG,ACTIVE                              ,2025-04-30-18.28.20.000000,,SINVALJUNIOR
  MARCELLOCG,INACTIVE                            ,2025-07-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MARCELLOCG,NEWREG                              ,2025-04-30-18.27.45.000000,,ITEAM
  MARCELLOQUEIROZ,ACTIVE                              ,2019-07-29-10.54.07.000000,,THIAGOFROES
  MARCELLOQUEIROZ,INACTIVE                            ,2020-03-11-11.39.29.000000,usuario sem acesso nos ultimos seis meses,MAXADOOG
  MARCELOBIGATEBROSEGHINI,NEWREG                              ,2024-07-17-11.14.04.000000,,MAXADMIN
  MARCELOBIGATEBROSEGHINI,INACTIVE                            ,2024-09-14-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MARCELOBIGATEBROSEGHINI,ACTIVE                              ,2024-07-17-11.16.57.000000,,SINVALJUNIOR
  MARCELODIASJUNIOR,NEWREG                              ,2026-05-25-16.23.54.080000,,MAXADMIN
  MARCELODIASJUNIOR,ACTIVE                              ,2026-05-25-16.24.31.492000,,SINVALJUNIOR
  MARCELOFERNANDES,NEWREG                              ,2024-07-24-10.01.45.000000,,MAXADMIN
  MARCELOFERNANDES,INACTIVE                            ,2024-10-14-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MARCELOFERNANDES,ACTIVE                              ,2024-07-24-10.05.29.000000,,SINVALJUNIOR
  MARCELOFERREIRA,INACTIVE                            ,2023-10-23-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MARCELOFERREIRA,ACTIVE                              ,2026-05-26-07.07.20.260000,2026052629000037,HELPDESK
  MARCELOFERREIRA,INACTIVE                            ,2026-04-01-07.45.01.137000,Usuario inativo por mais de 50 dias,MAXADMIN
  MARCELOFERREIRA,INACTIVE                            ,2023-10-25-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MARCELOFERREIRA,ACTIVE                              ,2023-10-20-15.33.05.000000,,ITEAM
  MARCELOFERREIRA,ACTIVE                              ,2023-10-28-13.06.30.000000,Ticket#0322617,HELPDESK
  MARCELOFERREIRA,ACTIVE                              ,2023-10-24-13.44.54.000000,,ITEAM
  MARCELOFERREIRA,INACTIVE                            ,2022-09-20-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MARCELOFERREIRA,ACTIVE                              ,2022-07-25-09.19.40.000000,,ITEAM
  MARCELOGSILVA,ACTIVE                              ,2023-10-24-13.27.33.000000,,ITEAM
  MARCELOMARTINS,NEWREG                              ,2024-07-24-10.10.46.000000,,MAXADMIN
  MARCELOMARTINS,INACTIVE                            ,2024-10-14-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MARCELOMARTINS,ACTIVE                              ,2024-07-24-10.13.00.000000,,SINVALJUNIOR
  MARCELOMARTINSFERNANDES,ACTIVE                              ,2024-07-23-13.45.38.000000,,SINVALJUNIOR
  MARCELOMARTINSFERNANDES,INACTIVE                            ,2024-07-24-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  MARCELOMARTINSFERNANDES,NEWREG                              ,2024-07-23-12.15.27.000000,,MAXADMIN
  MARCELOMENEZES,INACTIVE                            ,2025-03-27-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MARCELOMENEZES,ACTIVE                              ,2025-02-01-15.26.32.000000,,SINVALJUNIOR
  MARCELOMENEZES,NEWREG                              ,2025-02-01-15.25.26.000000,,MAXADMIN
  MARCELONOGUEIRA,ACTIVE                              ,2014-04-21-11.00.21.000000,,MAXADMIN
  MARCELONOGUEIRA,INACTIVE                            ,2017-03-20-15.37.45.000000,Saneamento usuários março/17,MAXADOOG
  MARCELONOGUEIRA,INACTIVE                            ,2019-01-25-16.39.08.000000,Inativando usuarios que nao acessaram nos ultimos seis meses,MAXADOOG
  MARCELONOGUEIRA,ACTIVE                              ,2024-06-21-06.33.41.000000,,MAXADMIN
  MARCELONOGUEIRA,BLOCKED                             ,2024-06-21-06.27.50.000000,,MAXADMIN
  MARCELONOGUEIRA,INACTIVE                            ,2023-08-20-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MARCELONOGUEIRA,ACTIVE                              ,2023-04-05-23.38.36.000000,Ticket#0286739,HELPDESK
  MARCELONOGUEIRA,ACTIVE                              ,2023-10-19-18.08.25.000000,0321338,HELPDESK
  MARCELONOGUEIRA,INACTIVE                            ,2023-03-15-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MARCELONOGUEIRA,ACTIVE                              ,2021-08-30-09.07.04.000000,Troca de senha do MAXIMO do usuário marcelonogueira,ITEAM
  MARCELONOGUEIRA,INACTIVE                            ,2021-08-22-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MARCELONOGUEIRA,ACTIVE                              ,2020-06-25-08.53.19.000000,Ticket#0163603 - Reativação,JULINECAETANO
  MARCELONOGUEIRA,ACTIVE                              ,2018-11-19-12.01.31.000000,Ticket#022746 - Solicitação de acesso,MAXADOOG
  MARCELOPEREIRA,ACTIVE                              ,2014-03-25-14.40.40.000000,,MAXADMIN
  MARCELOPEREIRA,INACTIVE                            ,2016-12-01-11.44.23.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  MARCELOROBSONDEMIRANDA,NEWREG                              ,2026-04-23-13.14.31.013000,,MAXADMIN
