IBM Db2 Interactive CLI Sample Program (extração paginada)
> SELECT COALESCE(userid, '') || ',' || COALESCE(CHAR(status), '') || ',' || COALESCE(CHAR(changedate), '') || ',' || COALESCE(REPLACE(memo, ',', ';'), '') || ',' || COALESCE(changeby, '') as CSV_ROW FROM MAXUSERSTATUS;
FetchAll:  Columns: 1
  CSV_ROW 
  AANDREZACSANTOS,NEWREG                              ,2025-03-26-18.07.08.000000,,MAXADMIN
  LUISMACEDO,BLOCKED                             ,2024-02-03-22.40.26.000000,,MAXADMIN
  LUISMACEDO,ACTIVE                              ,2024-02-03-22.40.54.000000,,MAXADMIN
  LUISPARAGUASSU,INACTIVE                            ,2025-01-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUISPARAGUASSU,ACTIVE                              ,2026-03-25-18.11.05.860000,,MAXADMIN
  LUISPARAGUASSU,BLOCKED                             ,2026-03-25-18.08.22.619000,,MAXADMIN
  LUISPARAGUASSU,ACTIVE                              ,2026-01-31-12.45.29.496000,,MAXADMIN
  LUISPARAGUASSU,BLOCKED                             ,2026-01-31-12.36.38.096000,,MAXADMIN
  LUISPARAGUASSU,ACTIVE                              ,2025-06-11-06.18.27.000000,,HELPDESK
  LUISPARAGUASSU,ACTIVE                              ,2024-11-29-09.48.14.000000,,ITEAM
  LUISPARAGUASSU,INACTIVE                            ,2024-11-29-09.48.00.000000,,ITEAM
  LUISPICOLO,NEWREG                              ,2026-05-20-18.51.18.329000,,MAXADMIN
  LUISPICOLO,INACTIVE                            ,2026-07-10-07.45.01.585000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUISPICOLO,ACTIVE                              ,2026-05-20-18.58.43.042000,,SOCRATESREIS
  LUISPINHEIRO,INACTIVE                            ,2024-12-28-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  LUISPINHEIRO,ACTIVE                              ,2024-12-11-19.38.41.000000,,CAROLINABRAGA
  LUISPINHEIRO,NEWREG                              ,2024-12-11-19.37.56.000000,,MAXADMIN
  LUISSENA,NEWREG                              ,2026-03-29-14.06.01.530000,,MAXADMIN
  LUISSENA,INACTIVE                            ,2026-05-31-07.45.01.812000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUISSENA,ACTIVE                              ,2026-03-29-14.06.49.271000,,SOCRATESREIS
  LUISSOUZA,ACTIVE                              ,2023-10-31-16.03.23.000000,,ITEAM
  LUISSOUZA,BLOCKED                             ,2024-09-14-03.39.50.000000,,MAXADMIN
  LUISSOUZA,ACTIVE                              ,2024-09-14-03.42.15.000000,,MAXADMIN
  LUISSOUZA,INACTIVE                            ,2023-12-21-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUISSOUZA,ACTIVE                              ,2023-12-25-15.42.36.000000,,HELPDESK
  LUIZASILVA,ACTIVE                              ,2025-04-07-13.45.47.000000,,CAROLINABRAGA
  LUIZASILVA,INACTIVE                            ,2026-04-08-10.55.12.801000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZASILVA,ACTIVE                              ,2026-01-28-09.35.08.578000,,MAXADOOG
  LUIZASILVA,INACTIVE                            ,2025-04-21-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  LUIZASILVA,NEWREG                              ,2025-04-07-13.43.14.000000,,MAXADMIN
  LUIZAVELINO,NEWREG                              ,2026-05-09-22.09.39.386000,,MAXADMIN
  LUIZAVELINO,INACTIVE                            ,2026-06-29-07.45.01.785000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZAVELINO,ACTIVE                              ,2026-05-09-22.10.11.034000,,CAROLINABRAGA
  LUIZBARROSO,ACTIVE                              ,2026-04-29-14.34.25.160000,,ITEAM
  LUIZBARROSO,INACTIVE                            ,2026-06-27-07.45.01.601000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZBARSOLI,BLOCKED                             ,2024-07-27-20.11.55.000000,,MAXADMIN
  LUIZBARSOLI,ACTIVE                              ,2024-07-27-20.19.23.000000,,MAXADMIN
  LUIZBARSOLI,ACTIVE                              ,2024-07-01-11.19.28.000000,,MAXADOOG
  LUIZCASTANHEIRA,NEWREG                              ,2026-02-07-01.18.39.660000,,ITEAM
  LUIZCASTANHEIRA,INACTIVE                            ,2026-04-10-07.45.01.551000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZCASTANHEIRA,ACTIVE                              ,2026-02-07-01.20.26.076000,,CAROLINABRAGA
  LUIZCSANTOS,ACTIVE                              ,2018-02-07-13.38.44.000000,,JULINECAETANO
  LUIZDACOSTA,ACTIVE                              ,2023-10-31-16.03.59.000000,,ITEAM
  LUIZDACOSTA,INACTIVE                            ,2026-04-08-10.55.12.328000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZDACOSTA,BLOCKED                             ,2024-11-12-06.29.44.000000,,MAXADMIN
  LUIZDACOSTA,ACTIVE                              ,2024-11-11-06.52.58.000000,Ticket#0377920,HELPDESK
  LUIZDACOSTA,ACTIVE                              ,2024-11-12-06.36.45.000000,,MAXADMIN
  LUIZDACOSTA,INACTIVE                            ,2024-04-26-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZDEPAULA,ACTIVE                              ,2025-02-08-06.12.03.000000,,CAROLINABRAGA
  LUIZDEPAULA,INACTIVE                            ,2026-04-08-10.55.16.491000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZDEPAULA,ACTIVE                              ,2026-01-28-09.35.08.582000,,MAXADOOG
  LUIZDEPAULA,INACTIVE                            ,2025-06-07-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZDEPAULA,NEWREG                              ,2025-02-08-06.10.53.000000,,MAXADMIN
  LUIZDUMAS,NEWREG                              ,2025-12-17-14.43.07.034000,,ITEAM
  LUIZDUMAS,INACTIVE                            ,2026-04-08-10.55.17.932000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZDUMAS,ACTIVE                              ,2025-12-19-11.44.43.876000,,CAROLINABRAGA
  LUIZFELIPECARVALHO,NEWREG                              ,2025-02-26-17.39.34.000000,,MAXADMIN
  LUIZFELIPECARVALHO,INACTIVE                            ,2026-04-08-10.55.15.543000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZFELIPECARVALHO,ACTIVE                              ,2026-01-11-07.23.33.243000,,CAROLINABRAGA
  LUIZFELIPEMOREIRA,NEWREG                              ,2026-05-14-06.19.37.960000,,MAXADMIN
  LUIZFELIPEMOREIRA,INACTIVE                            ,2026-07-13-07.45.01.790000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZFELIPEMOREIRA,ACTIVE                              ,2026-05-14-06.32.12.815000,,CAROLINABRAGA
  LUIZFELIPENCS,NEWREG                              ,2025-02-26-17.46.45.000000,,MAXADMIN
  LUIZFELIPENCS,INACTIVE                            ,2026-04-08-10.55.14.090000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZFELIPENCS,ACTIVE                              ,2026-01-28-09.35.08.586000,,MAXADOOG
  LUIZFELIPENCS,INACTIVE                            ,2025-04-18-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZFELIPENCS,ACTIVE                              ,2025-02-26-17.47.42.000000,,SOCRATESREIS
  LUIZFELIPESILVA,NEWREG                              ,2025-02-26-17.37.24.000000,,MAXADMIN
  LUIZFELIPESILVA,INACTIVE                            ,2026-04-08-10.55.16.856000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZFELIPESILVA,ACTIVE                              ,2026-01-11-07.23.41.950000,,CAROLINABRAGA
  LUIZFERNANDO,NEWREG                              ,2026-02-08-08.44.23.420000,,ITEAM
  LUIZFERNANDO,INACTIVE                            ,2026-02-21-01.00.01.341000,Automatic Inativate expired user access,MAXADMIN
  LUIZFERNANDO,ACTIVE                              ,2026-02-20-20.17.35.893000,,SOCRATESREIS
  LUIZFERNANDO,INACTIVE                            ,2026-02-20-01.00.01.393000,Automatic Inativate expired user access,MAXADMIN
  LUIZFERNANDO,ACTIVE                              ,2026-02-19-19.21.20.633000,,CAROLINABRAGA
  LUIZFERNANDO,INACTIVE                            ,2026-02-19-01.00.00.832000,Automatic Inativate expired user access,MAXADMIN
  LUIZFERNANDO,ACTIVE                              ,2026-02-18-19.05.45.865000,,CAROLINABRAGA
  LUIZFERNANDO,INACTIVE                            ,2026-02-18-01.00.01.348000,Automatic Inativate expired user access,MAXADMIN
  LUIZFERNANDO,ACTIVE                              ,2026-02-17-19.37.29.418000,,SOCRATESREIS
  LUIZFERNANDO,INACTIVE                            ,2026-02-16-01.00.02.510000,Automatic Inativate expired user access,MAXADMIN
  LUIZFERNANDO,ACTIVE                              ,2026-02-15-20.16.48.895000,,CAROLINABRAGA
  LUIZFERNANDO,INACTIVE                            ,2026-02-12-01.00.01.739000,Automatic Inativate expired user access,MAXADMIN
  LUIZFERNANDO,ACTIVE                              ,2026-02-11-06.11.47.301000,,CAROLINABRAGA
  LUIZFERNANDO,INACTIVE                            ,2026-02-11-01.00.01.839000,Automatic Inativate expired user access,MAXADMIN
  LUIZFERNANDO,ACTIVE                              ,2026-02-10-20.10.30.464000,,CAROLINABRAGA
  LUIZFERNANDO,INACTIVE                            ,2026-02-09-01.00.01.718000,Automatic Inativate expired user access,MAXADMIN
  LUIZFERNANDO,ACTIVE                              ,2026-02-08-08.46.09.682000,,SOCRATESREIS
  LUIZFERNANDOSOARES,NEWREG                              ,2024-11-28-15.37.35.000000,,MAXADMIN
  LUIZFERNANDOSOARES,INACTIVE                            ,2026-04-08-10.55.16.607000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZFERNANDOSOARES,ACTIVE                              ,2026-01-28-09.35.08.590000,,MAXADOOG
  LUIZFERNANDOSOARES,INACTIVE                            ,2025-02-28-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZFERNANDOSOARES,ACTIVE                              ,2024-11-28-15.38.23.000000,,SOCRATESREIS
  LUIZFILGUEIRAS,NEWREG                              ,2025-12-18-09.52.44.922000,,ITEAM
  LUIZFILGUEIRAS,INACTIVE                            ,2026-04-08-10.55.18.436000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZFILGUEIRAS,ACTIVE                              ,2025-12-19-12.36.18.518000,,CAROLINABRAGA
  LUIZFRIAS,NEWREG                              ,2025-12-17-18.46.19.446000,,ITEAM
  LUIZFRIAS,INACTIVE                            ,2026-04-08-10.55.18.191000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZFRIAS,ACTIVE                              ,2025-12-17-18.47.24.489000,,CAROLINABRAGA
  LUIZGOMES,ACTIVE                              ,2018-05-18-18.27.49.000000,,MAXADOOG
  LUIZGOMES,INACTIVE                            ,2019-09-27-14.41.22.000000,Saneamento sonda,MAXADOOG
  LUIZGUILHERME,NEWREG                              ,2025-10-08-16.33.04.000000,,ITEAM
  LUIZGUILHERME,INACTIVE                            ,2026-04-08-10.55.15.987000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZGUILHERME,ACTIVE                              ,2026-01-28-09.35.08.595000,,MAXADOOG
  LUIZGUILHERME,INACTIVE                            ,2025-11-30-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZGUILHERME,ACTIVE                              ,2025-10-08-16.36.08.000000,,SOCRATESREIS
  LUIZHSILVA,NEWREG                              ,2026-01-16-09.25.35.914000,,ITEAM
  LUIZHSILVA,INACTIVE                            ,2026-04-09-07.45.01.996000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZHSILVA,ACTIVE                              ,2026-01-16-09.27.06.702000,,CAROLINABRAGA
  LUIZMATOS,NEWREG                              ,2025-05-18-14.55.06.000000,,ITEAM
  LUIZMATOS,INACTIVE                            ,2026-04-08-10.55.13.473000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZMATOS,ACTIVE                              ,2026-01-28-09.35.08.599000,,MAXADOOG
  LUIZMATOS,INACTIVE                            ,2025-07-10-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZMATOS,ACTIVE                              ,2025-05-18-14.57.33.000000,,SOCRATESREIS
  LUIZMELLO,NEWREG                              ,2025-06-08-17.50.04.000000,,ITEAM
  LUIZMELLO,INACTIVE                            ,2026-04-08-10.55.16.969000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZMELLO,ACTIVE                              ,2026-01-28-09.35.08.603000,,MAXADOOG
  LUIZMELLO,INACTIVE                            ,2025-08-06-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZMELLO,ACTIVE                              ,2025-06-08-17.50.27.000000,,CAROLINABRAGA
  LUIZMOREIRA,ACTIVE                              ,2017-10-09-14.48.31.000000,,PAULOPARREIRA
  LUIZMOREIRA,INACTIVE                            ,2022-03-11-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZPAMPLONA,NEWREG                              ,2025-12-18-09.50.03.792000,,ITEAM
  LUIZPAMPLONA,INACTIVE                            ,2026-04-08-10.55.18.414000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZPAMPLONA,ACTIVE                              ,2025-12-19-12.35.07.306000,,CAROLINABRAGA
  LUIZPHILLIPE,ACTIVE                              ,2025-06-30-11.00.04.000000,Ticket#2025062829000239 — Re-ativação de usuário,ITEAM
  LUIZPHILLIPE,ACTIVE                              ,2026-06-10-14.21.57.751000,,SOCRATESREIS
  LUIZPHILLIPE,INACTIVE                            ,2026-04-08-10.55.14.842000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZPHILLIPE,ACTIVE                              ,2026-01-28-09.35.08.608000,,MAXADOOG
  LUIZPHILLIPE,ACTIVE                              ,2025-05-31-14.07.37.000000,,CAROLINABRAGA
  LUIZPHILLIPE,INACTIVE                            ,2025-06-12-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  LUIZPHILLIPE,NEWREG                              ,2025-05-31-14.06.46.000000,,ITEAM
  LUIZPHILLIPE,INACTIVE                            ,2025-08-23-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZPINTO,NEWREG                              ,2026-01-15-17.28.14.899000,,ITEAM
  LUIZPINTO,INACTIVE                            ,2026-04-27-07.45.01.750000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZPINTO,ACTIVE                              ,2026-01-15-18.33.50.653000,,CAROLINABRAGA
  LUIZRIBEIRODOSSANTOS,NEWREG                              ,2024-07-10-13.59.00.000000,,MAXADMIN
  LUIZRIBEIRODOSSANTOS,INACTIVE                            ,2024-09-11-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUIZRIBEIRODOSSANTOS,ACTIVE                              ,2024-07-10-14.02.37.000000,,SOCRATESREIS
  LUIZSAMARY,NEWREG                              ,2026-05-19-10.13.57.242000,,MAXADMIN
  LUIZSAMARY,ACTIVE                              ,2026-05-19-10.16.32.434000,,SOCRATESREIS
  LUIZTEIXEIRA,ACTIVE                              ,2024-08-07-15.02.22.000000,,ITEAM
  LUIZTEIXEIRA,INACTIVE                            ,2024-10-04-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUKASZGRZELAK,ACTIVE                              ,2014-03-07-17.58.07.000000,,MAXADMIN
  LUKASZGRZELAK,INACTIVE                            ,2017-03-20-15.13.21.000000,Saneamento usuários Março/17,MAXADOOG
  LUKASZGRZELAK,ACTIVE                              ,2019-05-21-17.20.09.000000,Ticket#082310 — Request Maximo access for new crew member,THIAGOFROES
  LUKASZGRZELAK,INACTIVE                            ,2021-07-10-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LUZELANGELOHORTA,ACTIVE                              ,2015-10-19-12.06.57.000000,,MAXADMIN
  LUZELANGELOHORTA,INACTIVE                            ,2016-12-01-09.51.36.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  LVIDAL,NEWREG                              ,2025-08-08-09.34.35.000000,,ITEAM
  LVIDAL,INACTIVE                            ,2026-04-08-10.55.17.279000,Usuario inativo por mais de 50 dias,MAXADMIN
  LVIDAL,ACTIVE                              ,2026-01-28-09.35.08.612000,,MAXADOOG
  LVIDAL,INACTIVE                            ,2025-10-11-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LVIDAL,ACTIVE                              ,2025-08-08-09.35.06.000000,,SOCRATESREIS
  MACHADOSANTOS,NEWREG                              ,2026-01-16-14.24.23.672000,,ITEAM
  MACHADOSANTOS,INACTIVE                            ,2026-04-20-07.45.01.213000,Usuario inativo por mais de 50 dias,MAXADMIN
  MACHADOSANTOS,ACTIVE                              ,2026-01-16-15.22.35.140000,,CAROLINABRAGA
  MACIELSILVA,NEWREG                              ,2025-12-08-20.32.30.245000,,ITEAM
  MACIELSILVA,INACTIVE                            ,2026-04-08-10.55.17.727000,Usuario inativo por mais de 50 dias,MAXADMIN
  MACIELSILVA,ACTIVE                              ,2025-12-08-20.33.00.761000,,SOCRATESREIS
  MACKSONSILVA,INACTIVE                            ,2022-01-17-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MACKSONSILVA,ACTIVE                              ,2026-01-14-19.18.34.185000,,MAXADMIN
  MACKSONSILVA,BLOCKED                             ,2026-01-14-19.12.17.561000,,MAXADMIN
  MACKSONSILVA,BLOCKED                             ,2021-05-10-18.02.30.000000,,MAXADMIN
  MACKSONSILVA,ACTIVE                              ,2021-05-10-09.43.37.000000,,MAXADOOG
  MACKSONSILVA,ACTIVE                              ,2021-05-10-18.06.45.000000,,MAXADMIN
  MACKSONSILVA,ACTIVE                              ,2022-02-07-08.49.50.000000,0228183 — [EXTERNAL] - Acesso ao máximo,ITEAM
  MAGNOALVINO,NEWREG                              ,2024-07-27-13.32.29.000000,,MAXADMIN
  MAGNOALVINO,INACTIVE                            ,2024-11-17-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MAGNOALVINO,ACTIVE                              ,2024-07-27-13.34.48.000000,,CAROLINABRAGA
  MAGNOBARBOSA,ACTIVE                              ,2023-10-31-16.04.34.000000,,ITEAM
  MAGNOBARBOSA,ACTIVE                              ,2025-03-24-00.48.15.000000,,MAXADMIN
  MAGNOBARBOSA,BLOCKED                             ,2025-03-24-00.45.13.000000,,MAXADMIN
  MAGNOBARBOSA,ACTIVE                              ,2025-03-22-05.18.15.000000,,MAXADMIN
  MAGNOBARBOSA,BLOCKED                             ,2025-03-22-05.14.15.000000,,MAXADMIN
  MAGNOBARBOSA,BLOCKED                             ,2024-10-07-18.55.45.000000,,MAXADMIN
  MAGNOBARBOSA,ACTIVE                              ,2024-10-07-18.59.18.000000,,MAXADMIN
  MAGNOBARBOSA,ACTIVE                              ,2024-10-05-18.11.31.000000,,HELPDESK
  MAGNOBARBOSA,INACTIVE                            ,2024-07-29-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MAGNOBORGES,NEWREG                              ,2026-01-16-11.25.42.366000,,ITEAM
  MAGNOBORGES,INACTIVE                            ,2026-04-08-10.55.20.025000,Usuario inativo por mais de 50 dias,MAXADMIN
  MAGNOBORGES,ACTIVE                              ,2026-01-16-13.21.53.410000,,CAROLINABRAGA
  MAGNOGOMES,ACTIVE                              ,2024-01-17-14.11.41.000000,,ITEAM
  MAGNOGOMES,ACTIVE                              ,2025-03-06-16.42.04.000000,,MAXADMIN
  MAGNOGOMES,ACTIVE                              ,2025-02-24-11.45.04.000000,,MAXADMIN
  MAGNOGOMES,BLOCKED                             ,2025-02-24-11.41.05.000000,,MAXADMIN
  MAGNOGOMES,BLOCKED                             ,2025-03-06-16.36.37.000000,,MAXADMIN
  MAGNOGOMES,BLOCKED                             ,2025-03-06-08.28.21.000000,,MAXADMIN
  MAGNOGOMES,ACTIVE                              ,2025-03-06-08.32.04.000000,,MAXADMIN
  MAGNOGOMES,ACTIVE                              ,2024-09-04-13.52.22.000000,,HELPDESK
  MAGNOGOMES,INACTIVE                            ,2024-09-03-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MAGNOGOMES,ACTIVE                              ,2024-02-08-12.50.54.000000,,MAXADMIN
  MAGNOGOMES,BLOCKED                             ,2024-02-08-12.45.07.000000,,MAXADMIN
  MAGNOSILVA,ACTIVE                              ,2014-03-07-17.58.08.000000,,MAXADMIN
  MAGNOSILVA,INACTIVE                            ,2016-12-01-09.51.36.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  MAGNOVIANA,ACTIVE                              ,2025-03-07-18.54.09.000000,,CAROLINABRAGA
  MAGNOVIANA,INACTIVE                            ,2026-04-08-10.55.13.742000,Usuario inativo por mais de 50 dias,MAXADMIN
  MAGNOVIANA,ACTIVE                              ,2026-01-28-09.35.08.616000,,MAXADOOG
  MAGNOVIANA,NEWREG                              ,2025-03-07-18.52.20.000000,,MAXADMIN
  MAGNOVIANA,INACTIVE                            ,2025-04-28-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MAIANAVALONE,NEWREG                              ,2025-09-08-09.20.06.000000,,ITEAM
  MAIANAVALONE,INACTIVE                            ,2026-04-08-10.55.15.918000,Usuario inativo por mais de 50 dias,MAXADMIN
  MAIANAVALONE,ACTIVE                              ,2026-01-28-09.35.08.620000,,MAXADOOG
  MAIANAVALONE,INACTIVE                            ,2025-10-29-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MAIANAVALONE,ACTIVE                              ,2025-09-08-09.21.28.000000,,SOCRATESREIS
  MAICONLIMA,NEWREG                              ,2026-07-11-10.36.02.768000,,MAXADMIN
  MAICONLIMA,ACTIVE                              ,2026-07-11-10.41.53.015000,,SOCRATESREIS
  MAICONMUNIZ,INACTIVE                            ,2025-05-17-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MAICONMUNIZ,ACTIVE                              ,2025-03-27-14.32.06.000000,,ITEAM
  MAICONROCHA,ACTIVE                              ,2026-03-03-15.51.16.999000,,ITEAM
  MAIKNOLASCO,ACTIVE                              ,2024-04-16-13.42.31.000000,,SOCRATESREIS
  MAIKNOLASCO,NEWREG                              ,2024-04-16-13.41.13.000000,,MAXADMIN
  MAIKNOLASCO,INACTIVE                            ,2024-06-07-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MAIKONFERREIRA,NEWREG                              ,2025-03-27-11.37.26.000000,,MAXADMIN
  MAIKONFERREIRA,INACTIVE                            ,2026-04-08-10.55.13.398000,Usuario inativo por mais de 50 dias,MAXADMIN
  MAIKONFERREIRA,ACTIVE                              ,2026-01-11-07.23.50.047000,,CAROLINABRAGA
  MAIKONMUNIZ,NEWREG                              ,2025-03-27-11.45.15.000000,,MAXADMIN
  MAIKONMUNIZ,INACTIVE                            ,2026-04-08-10.55.16.670000,Usuario inativo por mais de 50 dias,MAXADMIN
  MAIKONMUNIZ,ACTIVE                              ,2026-01-11-07.23.58.301000,,CAROLINABRAGA
  MAIKSOUZA,INACTIVE                            ,2025-04-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MAIKSOUZA,ACTIVE                              ,2025-03-05-14.52.34.000000,,ITEAM
  MALUCARDOZO,NEWREG                              ,2025-02-10-19.35.42.000000,,MAXADMIN
  MALUCARDOZO,INACTIVE                            ,2026-04-08-10.55.16.508000,Usuario inativo por mais de 50 dias,MAXADMIN
  MALUCARDOZO,ACTIVE                              ,2026-01-11-07.24.23.537000,,CAROLINABRAGA
  MALUSILVA,NEWREG                              ,2025-02-10-19.34.26.000000,,MAXADMIN
  MALUSILVA,INACTIVE                            ,2026-04-08-10.55.16.031000,Usuario inativo por mais de 50 dias,MAXADMIN
  MALUSILVA,ACTIVE                              ,2026-01-28-09.35.08.625000,,MAXADOOG
  MALUSILVA,ACTIVE                              ,2025-02-11-09.31.43.000000,Ticket#2025021029000832 — Recuperação de usuário Maximo - Malu Silva,ITEAM
  MALUSILVA,INACTIVE                            ,2025-04-03-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MANDELA,NEWREG                              ,2026-05-25-17.05.36.035000,,MAXADMIN
  MANDELA,ACTIVE                              ,2026-05-25-17.09.50.330000,,SOCRATESREIS
  MANOELLACERDA,ACTIVE                              ,2024-12-24-10.09.24.000000,,CAROLINABRAGA
  MANOELLACERDA,INACTIVE                            ,2026-04-08-10.55.16.874000,Usuario inativo por mais de 50 dias,MAXADMIN
  MANOELLACERDA,ACTIVE                              ,2026-01-28-09.35.08.633000,,MAXADOOG
  MANOELLACERDA,INACTIVE                            ,2025-02-14-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MANOELLACERDA,NEWREG                              ,2024-12-24-10.08.30.000000,,MAXADMIN
  MANOELSANTOS,NEWREG                              ,2025-12-28-15.52.20.699000,,ITEAM
  MANOELSANTOS,INACTIVE                            ,2026-04-08-10.55.18.982000,Usuario inativo por mais de 50 dias,MAXADMIN
  MANOELSANTOS,ACTIVE                              ,2025-12-28-15.53.01.870000,,SOCRATESREIS
  MANUELANEVES,INACTIVE                            ,2025-08-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MANUELANEVES,INACTIVE                            ,2026-04-08-10.55.13.264000,Usuario inativo por mais de 50 dias,MAXADMIN
  MANUELANEVES,ACTIVE                              ,2026-01-28-09.35.08.637000,,MAXADOOG
  MANUELANEVES,ACTIVE                              ,2025-07-04-18.55.26.000000,,CAROLINABRAGA
  MANUELANEVES,NEWREG                              ,2025-07-04-18.54.58.000000,,ITEAM
  MARCELAZEVEDO,ACTIVE                              ,2025-12-03-15.38.00.000000,,ITEAM
  MARCELAZEVEDO,ACTIVE                              ,2026-01-22-19.11.13.286000,,MAXADMIN
  MARCELAZEVEDO,BLOCKED                             ,2026-01-22-19.07.15.497000,,MAXADMIN
  MARCELAZEVEDO,ACTIVE                              ,2026-01-21-20.51.12.873000,,MAXADMIN
  MARCELAZEVEDO,BLOCKED                             ,2026-01-21-20.44.03.483000,,MAXADMIN
  MARCELAZEVEDO,ACTIVE                              ,2026-01-21-19.31.12.827000,,MAXADMIN
  MARCELAZEVEDO,BLOCKED                             ,2026-01-21-19.30.19.227000,,MAXADMIN
  MARCELAZEVEDO,ACTIVE                              ,2026-01-09-14.08.25.181000,,MAXADMIN
  MARCELAZEVEDO,BLOCKED                             ,2026-01-09-14.07.59.858000,,MAXADMIN
  MARCELOAZEVEDOPEREIRA,INACTIVE                            ,2024-03-01-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MARCELOAZEVEDOPEREIRA,INACTIVE                            ,2024-04-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MARCELOAZEVEDOPEREIRA,NEWREG                              ,2024-01-10-11.34.07.000000,,MAXADMIN
  MARCELOAZEVEDOPEREIRA,ACTIVE                              ,2024-03-04-13.48.06.000000,,MAXADOOG
  MARCELOAZEVEDOPEREIRA,ACTIVE                              ,2024-01-10-11.35.31.000000,,SOCRATESREIS
  MARCELOBARBOSA,ACTIVE                              ,2025-03-07-09.53.35.000000,,ITEAM
  MARCELOBARBOSA,INACTIVE                            ,2025-04-27-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MARCELOBATISTA,NEWREG                              ,2025-10-04-20.42.07.000000,,ITEAM
  MARCELOBATISTA,INACTIVE                            ,2026-04-08-10.55.17.021000,Usuario inativo por mais de 50 dias,MAXADMIN
  MARCELOBATISTA,ACTIVE                              ,2026-01-28-09.35.08.641000,,MAXADOOG
  MARCELOBATISTA,INACTIVE                            ,2025-11-27-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MARCELOBATISTA,ACTIVE                              ,2025-10-04-20.42.44.000000,,SOCRATESREIS
  MARCELOBIGATE,ACTIVE                              ,2024-06-24-17.20.23.000000,,SOCRATESREIS
