IBM Db2 Interactive CLI Sample Program (extração paginada)
> SELECT COALESCE(userid, '') || ',' || COALESCE(CHAR(status), '') || ',' || COALESCE(CHAR(changedate), '') || ',' || COALESCE(REPLACE(memo, ',', ';'), '') || ',' || COALESCE(changeby, '') as CSV_ROW FROM MAXUSERSTATUS;
FetchAll:  Columns: 1
  CSV_ROW 
  AADOSSANTOS,NEWREG                              ,2026-01-26-02.07.47.403000,,ITEAM
  LEANDROJESUS,ACTIVE                              ,2025-04-12-19.44.17.000000,,LEONARDOFRANCISCO
  LEANDROJESUS,NEWREG                              ,2025-04-12-19.38.12.000000,,ITEAM
  LEANDROLCARVALHO,NEWREG                              ,2026-04-11-14.05.14.580000,,MAXADMIN
  LEANDROLCARVALHO,INACTIVE                            ,2026-06-14-07.45.02.180000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEANDROLCARVALHO,ACTIVE                              ,2026-04-11-14.10.56.629000,,LEONARDOFRANCISCO
  LEANDROMACHADO,NEWREG                              ,2025-01-08-20.08.34.000000,,MAXADMIN
  LEANDROMACHADO,INACTIVE                            ,2025-03-01-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEANDROMACHADO,ACTIVE                              ,2025-01-08-20.14.01.000000,,SILVERIOMAIA
  LEANDROMENDES,NEWREG                              ,2024-07-27-15.56.30.000000,,MAXADMIN
  LEANDROMENDES,BLOCKED                             ,2024-07-28-03.44.57.000000,,MAXADMIN
  LEANDROMENDES,INACTIVE                            ,2024-10-04-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEANDROMENDES,ACTIVE                              ,2024-07-28-03.50.40.000000,,MAXADMIN
  LEANDROMENDES,ACTIVE                              ,2024-07-27-16.16.33.000000,,LEONARDOFRANCISCO
  LEANDROMOURA,ACTIVE                              ,2023-12-21-06.06.36.000000,,LEONARDOFRANCISCO
  LEANDROMOURA,INACTIVE                            ,2024-07-31-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEANDROMOURA,ACTIVE                              ,2024-06-09-20.33.48.000000,Ticket#0360468 — Acesso ao sistema maximo n08,HELPDESK
  LEANDROMOURA,NEWREG                              ,2023-12-20-20.07.56.000000,,MAXADMIN
  LEANDROMOURA,INACTIVE                            ,2024-02-14-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEANDROPIAO,ACTIVE                              ,2022-05-03-15.22.23.000000,,ITEAM
  LEANDROPIAO,INACTIVE                            ,2022-06-23-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEANDROREISSA,ACTIVE                              ,2024-12-07-19.48.34.000000,,SILVERIOMAIA
  LEANDROREISSA,INACTIVE                            ,2025-11-09-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  LEANDROREISSA,ACTIVE                              ,2025-10-05-16.42.55.000000,,SILVERIOMAIA
  LEANDROREISSA,INACTIVE                            ,2025-03-17-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEANDROREISSA,NEWREG                              ,2024-12-07-19.47.19.000000,,MAXADMIN
  LEANDRORIBEIRO,NEWREG                              ,2024-05-24-09.38.48.000000,,MAXADMIN
  LEANDRORIBEIRO,ACTIVE                              ,2024-05-24-09.39.32.000000,,SILVERIOMAIA
  LEANDRORIBEIRO,INACTIVE                            ,2024-07-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEANDRORODRIGUES,ACTIVE                              ,2014-05-13-08.16.41.000000,,MAXADMIN
  LEANDRORODRIGUES,INACTIVE                            ,2018-08-16-09.10.58.000000,Integrante desligado em 16/08/2018,MAXADOOG
  LEANDROSA,NEWREG                              ,2024-12-07-19.45.42.000000,,MAXADMIN
  LEANDROSA,INACTIVE                            ,2025-03-10-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEANDROSA,ACTIVE                              ,2025-01-18-19.16.11.000000,,LEONARDOFRANCISCO
  LEANDROSANTOS,ACTIVE                              ,2014-05-13-11.21.12.000000,,MAXADMIN
  LEANDROSANTOS,ACTIVE                              ,2017-04-30-08.31.37.000000,,HELPDESK
  LEANDROSANTOS,BLOCKED                             ,2017-04-29-08.00.57.000000,,MAXADMIN
  LEANDROSAREIS,NEWREG                              ,2025-01-18-19.21.32.000000,,MAXADMIN
  LEANDROSAREIS,INACTIVE                            ,2026-03-26-07.45.01.909000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEANDROSAREIS,ACTIVE                              ,2025-11-08-18.01.55.000000,,LEONARDOFRANCISCO
  LEANDROSAREIS,INACTIVE                            ,2025-09-01-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEANDROSAREIS,ACTIVE                              ,2025-04-07-17.50.06.000000,,HELPDESK
  LEANDROSAREIS,INACTIVE                            ,2025-03-11-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEANDROSAREIS,ACTIVE                              ,2025-01-19-06.06.49.000000,,LEONARDOFRANCISCO
  LEANDROSCAVASSANI,ACTIVE                              ,2024-05-10-17.13.36.000000,,LEONARDOFRANCISCO
  LEANDROSCAVASSANI,INACTIVE                            ,2024-06-30-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEANDROSCAVASSANI,NEWREG                              ,2024-05-10-17.03.49.000000,,MAXADMIN
  LEANDROVENANCIO,INACTIVE                            ,2020-03-11-10.50.18.000000,Integrantes sem acesso na unidade,MAXADOOG
  LEANDROVENANCIO,ACTIVE                              ,2019-03-11-14.16.11.000000,,THIAGOFROES
  LECIANOSILVA,INACTIVE                            ,2016-12-01-09.45.23.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  LECIANOSILVA,ACTIVE                              ,2014-05-26-11.53.39.000000,,MAXADMIN
  LEILTONMARQUES,ACTIVE                              ,2023-05-24-14.39.10.000000,,ITEAM
  LENIELJUNIOR,BLOCKED                             ,2019-01-03-09.01.52.000000,,MAXADMIN
  LENIELJUNIOR,ACTIVE                              ,2019-02-06-16.51.00.000000,,MAXADOOG
  LENIELJUNIOR,ACTIVE                              ,2019-01-03-09.06.35.000000,,MAXADMIN
  LENIELJUNIOR,INACTIVE                            ,2022-08-19-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LENIELJUNIOR,ACTIVE                              ,2017-08-15-10.24.28.000000,,MAXADMIN
  LENIELJUNIOR,ACTIVE                              ,2018-03-07-13.41.44.000000,,MAXADOOG
  LENIELJUNIOR,BLOCKED                             ,2018-03-07-12.01.28.000000,,MAXADMIN
  LENIELJUNIOR,INACTIVE                            ,2019-01-25-16.22.20.000000,Inativando usuarios que não acessaram o sistema nos ultimos seis meses,MAXADOOG
  LENIELJUNIOR,ACTIVE                              ,2022-06-29-09.33.14.000000,Ticket#0245200 — Reset das senhas de acesso ao Maximo das UMP - Leniel Borel,ITEAM
  LENIELJUNIOR,INACTIVE                            ,2020-03-11-10.47.16.000000,Integrantes sem acesso nos ultimos seis meses,MAXADOOG
  LEOFERREIRA,NEWREG                              ,2025-07-10-22.02.41.000000,,ITEAM
  LEOFERREIRA,INACTIVE                            ,2025-11-22-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEOFERREIRA,ACTIVE                              ,2025-07-10-22.03.22.000000,,SILVERIOMAIA
  LEONARDMORAES,INACTIVE                            ,2020-03-11-10.47.16.000000,Integrantes sem acesso nos ultimos seis meses,MAXADOOG
  LEONARDMORAES,ACTIVE                              ,2019-01-23-18.10.20.000000,,MAXADMIN
  LEONARDO,BLOCKED                             ,2024-08-04-14.31.03.000000,,MAXADMIN
  LEONARDO,ACTIVE                              ,2024-08-04-14.40.40.000000,,MAXADMIN
  LEONARDO,ACTIVE                              ,2024-08-02-10.38.27.000000,,LEONARDOFRANCISCO
  LEONARDO,NEWREG                              ,2024-08-02-10.36.35.000000,,MAXADMIN
  LEONARDO,INACTIVE                            ,2024-10-04-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOBARBOZA,ACTIVE                              ,2018-06-06-18.01.41.000000,,MAXADMIN
  LEONARDOBARBOZA,INACTIVE                            ,2019-09-06-15.36.38.000000,,MAXADOOG
  LEONARDOBARRETO,NEWREG                              ,2024-06-27-16.12.28.000000,,MAXADMIN
  LEONARDOBARRETO,ACTIVE                              ,2024-06-27-16.15.32.000000,,LEONARDOFRANCISCO
  LEONARDOBARRETO,INACTIVE                            ,2024-08-27-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOCHAVES,NEWREG                              ,2025-01-07-19.39.06.000000,,MAXADMIN
  LEONARDOCHAVES,INACTIVE                            ,2025-03-02-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOCHAVES,ACTIVE                              ,2025-01-07-19.39.58.000000,,SILVERIOMAIA
  LEONARDOCORREA,ACTIVE                              ,2025-01-06-14.26.12.000000,,ITEAM
  LEONARDOCORREA,INACTIVE                            ,2025-02-26-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOCSILVA,ACTIVE                              ,2024-04-29-11.26.37.000000,,SILVERIOMAIA
  LEONARDOCSILVA,INACTIVE                            ,2024-07-01-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOCSILVA,NEWREG                              ,2024-04-29-11.25.28.000000,,MAXADMIN
  LEONARDODASILVA,ACTIVE                              ,2024-06-14-13.48.59.000000,,LEONARDOFRANCISCO
  LEONARDODASILVA,BLOCKED                             ,2024-07-12-13.28.00.000000,,MAXADMIN
  LEONARDODASILVA,NEWREG                              ,2024-06-14-13.39.24.000000,,MAXADMIN
  LEONARDODASILVA,INACTIVE                            ,2024-09-01-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDODASILVA,ACTIVE                              ,2024-07-12-13.33.41.000000,,MAXADMIN
  LEONARDODELUCA,ACTIVE                              ,2026-06-01-15.04.06.177000,,ITEAM
  LEONARDODESOUZA,NEWREG                              ,2025-01-08-10.59.54.000000,,MAXADMIN
  LEONARDODESOUZA,INACTIVE                            ,2025-03-07-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDODESOUZA,ACTIVE                              ,2025-01-08-11.00.30.000000,,SILVERIOMAIA
  LEONARDODESOUZAOLIVEIRA,INACTIVE                            ,2024-06-16-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDODESOUZAOLIVEIRA,ACTIVE                              ,2024-04-26-15.01.45.000000,,SILVERIOMAIA
  LEONARDODESOUZAOLIVEIRA,NEWREG                              ,2024-04-26-15.00.26.000000,,MAXADMIN
  LEONARDODOURADO,ACTIVE                              ,2025-09-04-10.50.34.000000,,ITEAM
  LEONARDODOURADO,ACTIVE                              ,2026-06-30-09.49.38.601000,Ticket#2026063029000456 — Senha Expirada - Máximo N08,HELPDESK
  LEONARDODOURADO,INACTIVE                            ,2026-05-30-07.45.02.328000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDODUARTE,NEWREG                              ,2024-01-04-08.56.14.000000,,MAXADMIN
  LEONARDODUARTE,INACTIVE                            ,2024-02-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDODUARTE,ACTIVE                              ,2024-01-04-09.54.51.000000,,SILVERIOMAIA
  LEONARDOESTEVES,ACTIVE                              ,2024-12-31-15.42.49.000000,,SILVERIOMAIA
  LEONARDOESTEVES,NEWREG                              ,2024-03-20-17.56.33.000000,,MAXADMIN
  LEONARDOESTEVES,INACTIVE                            ,2024-05-16-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOESTEVES,ACTIVE                              ,2024-03-20-18.18.26.000000,,LEONARDOFRANCISCO
  LEONARDOESTEVES,INACTIVE                            ,2025-04-06-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOFIRMIANO,NEWREG                              ,2025-01-26-16.06.36.000000,,MAXADMIN
  LEONARDOFIRMIANO,INACTIVE                            ,2025-03-31-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOFIRMIANO,ACTIVE                              ,2025-01-26-16.09.36.000000,,SILVERIOMAIA
  LEONARDOFIRMIANOMORORO,NEWREG                              ,2025-01-26-16.04.40.000000,,MAXADMIN
  LEONARDOFIRMIANOMORORO,INACTIVE                            ,2025-05-17-19.55.23.000000,,UELITONJUNIOR
  LEONARDOFRANCISCO,BLOCKED                             ,2024-01-11-12.41.37.000000,,MAXADMIN
  LEONARDOFRANCISCO,ACTIVE                              ,2018-10-17-02.51.52.000000,,MAXADMIN
  LEONARDOFRANCISCO,BLOCKED                             ,2024-06-03-09.45.27.000000,,MAXADMIN
  LEONARDOFRANCISCO,ACTIVE                              ,2025-04-13-16.01.43.000000,,MAXADMIN
  LEONARDOFRANCISCO,BLOCKED                             ,2025-04-13-16.00.31.000000,,MAXADMIN
  LEONARDOFRANCISCO,ACTIVE                              ,2024-06-03-09.48.42.000000,Ticket#0359251 — Reset de senha MAXIMO.,HELPDESK
  LEONARDOFRANCISCO,ACTIVE                              ,2023-12-22-16.44.36.000000,,MAXADMIN
  LEONARDOFRANCISCO,ACTIVE                              ,2018-09-27-07.47.53.000000,,JULINECAETANO
  LEONARDOFRANCISCO,BLOCKED                             ,2018-10-17-02.44.55.000000,,MAXADMIN
  LEONARDOFRANCISCO,BLOCKED                             ,2025-02-18-17.01.05.000000,,MAXADMIN
  LEONARDOFRANCISCO,BLOCKED                             ,2025-01-21-10.44.07.000000,,MAXADMIN
  LEONARDOFRANCISCO,ACTIVE                              ,2025-02-18-17.03.13.000000,,MAXADMIN
  LEONARDOFRANCISCO,ACTIVE                              ,2025-02-14-15.03.13.000000,,MAXADMIN
  LEONARDOFRANCISCO,BLOCKED                             ,2025-02-14-14.58.06.000000,,MAXADMIN
  LEONARDOFRANCISCO,ACTIVE                              ,2025-01-21-10.45.08.000000,,MAXADMIN
  LEONARDOFRANCISCO,BLOCKED                             ,2023-12-22-16.42.22.000000,,MAXADMIN
  LEONARDOFRANCISCO,ACTIVE                              ,2024-01-11-12.47.35.000000,,MAXADMIN
  LEONARDOLEMOS,ACTIVE                              ,2025-02-10-09.59.32.000000,,ITEAM
  LEONARDOLEMOS,INACTIVE                            ,2026-05-04-07.45.02.664000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOMATOS,ACTIVE                              ,2025-05-26-09.51.23.000000,,ITEAM
  LEONARDOMATOS,ACTIVE                              ,2026-03-17-01.06.55.640000,,MAXADMIN
  LEONARDOMATOS,BLOCKED                             ,2026-03-17-01.03.29.267000,,MAXADMIN
  LEONARDOMATOS,BLOCKED                             ,2025-05-27-23.45.28.000000,,MAXADMIN
  LEONARDOMATOS,ACTIVE                              ,2025-05-27-23.49.46.000000,,MAXADMIN
  LEONARDOMAYERHOFFER,INACTIVE                            ,2024-12-06-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOMAYERHOFFER,ACTIVE                              ,2024-10-16-11.22.37.000000,,ITEAM
  LEONARDOMOREIRA,ACTIVE                              ,2024-03-07-11.39.54.000000,0344896,HELPDESK
  LEONARDOMOREIRA,ACTIVE                              ,2026-05-28-14.35.45.617000,Ticket#2026052829000588,HELPDESK
  LEONARDOMOREIRA,INACTIVE                            ,2024-03-03-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOMOREIRA,INACTIVE                            ,2024-07-18-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOMOREIRA,ACTIVE                              ,2018-08-14-15.47.47.000000,,JULINECAETANO
  LEONARDOMOREIRA,ACTIVE                              ,2023-05-22-15.53.29.000000,0295270,HELPDESK
  LEONARDOMOREIRA,INACTIVE                            ,2023-05-18-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOMOREIRA,INACTIVE                            ,2023-10-07-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOMOREIRA,ACTIVE                              ,2024-01-12-13.22.12.000000,0335174,HELPDESK
  LEONARDOOLIVEIRA,INACTIVE                            ,2016-12-01-09.45.23.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  LEONARDOOLIVEIRA,ACTIVE                              ,2014-05-14-15.45.33.000000,,MAXADMIN
  LEONARDOOLIVEIRASANTOS,ACTIVE                              ,2025-01-18-07.41.15.000000,,LEONARDOFRANCISCO
  LEONARDOOLIVEIRASANTOS,NEWREG                              ,2025-01-18-07.39.43.000000,,MAXADMIN
  LEONARDOOLIVEIRASANTOS,INACTIVE                            ,2025-01-28-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  LEONARDOPIO,INACTIVE                            ,2024-10-09-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOPIO,ACTIVE                              ,2024-08-16-15.28.19.000000,,ITEAM
  LEONARDOPIRES,NEWREG                              ,2025-12-11-08.44.54.383000,,ITEAM
  LEONARDOPIRES,INACTIVE                            ,2026-03-26-07.45.03.941000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOPIRES,ACTIVE                              ,2025-12-11-08.45.57.405000,,LEONARDOFRANCISCO
  LEONARDOQUINTANILHA,ACTIVE                              ,2024-07-18-10.20.42.000000,,SILVERIOMAIA
  LEONARDOQUINTANILHA,NEWREG                              ,2024-07-18-10.01.41.000000,,MAXADMIN
  LEONARDOQUINTANILHA,INACTIVE                            ,2024-09-15-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDORIBEIRO,ACTIVE                              ,2022-07-25-09.09.18.000000,,ITEAM
  LEONARDORIBEIRO,ACTIVE                              ,2025-01-26-11.05.37.000000,,MAXADMIN
  LEONARDORIBEIRO,BLOCKED                             ,2025-01-26-11.03.04.000000,,MAXADMIN
  LEONARDORIBEIRODASILVA,NEWREG                              ,2024-04-19-11.06.34.000000,,MAXADMIN
  LEONARDORIBEIRODASILVA,ACTIVE                              ,2024-04-19-11.07.34.000000,,SILVERIOMAIA
  LEONARDORIBEIRODASILVA,INACTIVE                            ,2024-06-09-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOSIQUEIRA,ACTIVE                              ,2023-05-19-15.52.18.000000,,ITEAM
  LEONARDOSIQUEIRA,INACTIVE                            ,2024-08-09-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOSIQUEIRA,ACTIVE                              ,2024-04-26-16.06.52.000000,,MAXADMIN
  LEONARDOSIQUEIRA,BLOCKED                             ,2024-04-26-15.57.16.000000,,MAXADMIN
  LEONARDOSIQUEIRA,ACTIVE                              ,2023-06-12-14.41.05.000000,,MAXADMIN
  LEONARDOSIQUEIRA,BLOCKED                             ,2023-06-12-14.38.34.000000,,MAXADMIN
  LEONARDOSOUZA,ACTIVE                              ,2024-06-10-15.41.52.000000,,ITEAM
  LEONARDOSOUZA,INACTIVE                            ,2024-08-11-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOTAVARESPESSANHA,NEWREG                              ,2026-05-24-09.37.31.355000,,MAXADMIN
  LEONARDOTAVARESPESSANHA,ACTIVE                              ,2026-05-24-09.42.17.419000,,SILVERIOMAIA
  LEONARDOVALENTE,NEWREG                              ,2024-08-12-15.57.05.000000,,MAXADMIN
  LEONARDOVALENTE,ACTIVE                              ,2024-08-12-15.58.19.000000,,SILVERIOMAIA
  LEONARDOVALENTE,INACTIVE                            ,2024-10-02-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOVARGAS,ACTIVE                              ,2014-05-14-08.44.36.000000,,MAXADMIN
  LEONARDOVARGAS,INACTIVE                            ,2020-03-11-10.47.16.000000,Integrantes sem acesso nos ultimos seis meses,MAXADOOG
  LEONARDOVARGAS,ACTIVE                              ,2020-11-20-15.20.20.000000,Ticket#0176879 — Login Maximo,VANIASANTOS
  LEONARDOVARGAS,INACTIVE                            ,2021-07-26-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOVARGAS,INACTIVE                            ,2022-01-12-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOVARGAS,INACTIVE                            ,2022-08-01-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONARDOVARGAS,ACTIVE                              ,2022-02-09-08.52.34.000000,Ticket#0228548 — Desbloqueio de Login,ITEAM
  LEONARDOVARGAS,ACTIVE                              ,2021-10-21-16.13.43.000000,,ITEAM
  LEONARDOXIMENES,NEWREG                              ,2024-03-18-18.05.00.000000,,MAXADMIN
  LEONARDOXIMENES,ACTIVE                              ,2024-03-18-18.07.28.000000,,LEONARDOFRANCISCO
  LEONARDOXIMENES,INACTIVE                            ,2024-05-11-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEONIDASFERREIRA,INACTIVE                            ,2018-11-27-10.05.16.000000,Ticket#023087,MAXADMIN
  LEONIDASFERREIRA,ACTIVE                              ,2018-09-04-16.59.26.000000,,MAXADOOG
  LEOSANDOVAL,ACTIVE                              ,2017-07-17-13.41.57.000000,,MAXADMIN
  LEOSANDOVAL,INACTIVE                            ,2022-12-09-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LEOSANDOVAL,ACTIVE                              ,2021-05-12-15.54.13.000000,,MAXADMIN
  LEOSANDOVAL,BLOCKED                             ,2021-05-12-15.45.42.000000,,MAXADMIN
  LEOSANDOVAL,ACTIVE                              ,2021-05-12-15.44.13.000000,,MAXADMIN
  LEOSANDOVAL,BLOCKED                             ,2021-05-12-15.41.54.000000,,MAXADMIN
  LEOSANDOVAL,ACTIVE                              ,2021-05-11-11.10.21.000000,,MAXADOOG
  LEOSANDOVAL,INACTIVE                            ,2019-01-25-16.22.20.000000,Inativando usuarios que não acessaram o sistema nos ultimos seis meses,MAXADOOG
  LESCOCARD,NEWREG                              ,2026-04-13-13.36.14.633000,,MAXADMIN
  LESCOCARD,INACTIVE                            ,2026-06-03-07.45.10.154000,Usuario inativo por mais de 50 dias,MAXADMIN
  LESCOCARD,ACTIVE                              ,2026-04-13-13.36.58.780000,,LEONARDOFRANCISCO
  LETICIALEITE,INACTIVE                            ,2023-10-27-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LETICIALEITE,ACTIVE                              ,2023-09-06-18.34.34.000000,,ITEAM
  LETICIALIMA,INACTIVE                            ,2024-09-07-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LETICIALIMA,ACTIVE                              ,2024-07-13-16.05.29.000000,,SILVERIOMAIA
  LETICIALIMA,NEWREG                              ,2024-07-13-16.02.06.000000,,MAXADMIN
  LETICIAMATOS,NEWREG                              ,2024-06-16-08.36.38.000000,,MAXADMIN
  LETICIAMATOS,INACTIVE                            ,2024-08-06-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LETICIAMATOS,ACTIVE                              ,2024-06-16-08.38.48.000000,,SILVERIOMAIA
  LETICIASILVA,INACTIVE                            ,2024-05-27-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  LETICIASILVA,ACTIVE                              ,2024-05-21-15.01.40.000000,,SILVERIOMAIA
  LETICIASILVA,NEWREG                              ,2024-05-21-14.43.03.000000,,MAXADMIN
  LFCRIBEIRO,NEWREG                              ,2026-04-19-12.30.38.854000,,MAXADMIN
  LFCRIBEIRO,INACTIVE                            ,2026-06-09-07.45.03.213000,Usuario inativo por mais de 50 dias,MAXADMIN
  LFCRIBEIRO,ACTIVE                              ,2026-04-19-12.32.07.038000,,SILVERIOMAIA
  LFGSANTOS,INACTIVE                            ,2025-09-21-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LFGSANTOS,NEWREG                              ,2025-07-19-01.09.58.000000,,ITEAM
  LFGSANTOS,ACTIVE                              ,2025-07-19-01.10.49.000000,,SILVERIOMAIA
  LFLDOMINGUES,NEWREG                              ,2025-09-28-02.43.36.000000,,ITEAM
  LFLDOMINGUES,INACTIVE                            ,2026-03-26-07.45.02.693000,Usuario inativo por mais de 50 dias,MAXADMIN
  LFLDOMINGUES,ACTIVE                              ,2025-11-01-22.33.43.000000,,SILVERIOMAIA
  LGOMES,INACTIVE                            ,2025-09-02-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LGOMES,ACTIVE                              ,2025-07-06-21.48.33.000000,,LEONARDOFRANCISCO
  LGOMES,NEWREG                              ,2025-07-06-21.46.00.000000,,ITEAM
  LGUIMARAES,NEWREG                              ,2024-01-19-15.05.19.000000,,MAXADMIN
  LGUIMARAES,INACTIVE                            ,2024-03-10-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LGUIMARAES,ACTIVE                              ,2024-01-19-15.06.14.000000,,LEONARDOFRANCISCO
  LIANAALVARENGA,NEWREG                              ,2023-11-11-18.07.35.000000,,MAXADMIN
  LIANAALVARENGA,ACTIVE                              ,2023-12-10-19.19.57.000000,,SILVERIOMAIA
  LICIAAVENA,ACTIVE                              ,2025-04-25-16.16.02.000000,,ITEAM
  LICIAAVENA,INACTIVE                            ,2025-06-15-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LILIANECARREIRO,INACTIVE                            ,2016-12-01-09.45.23.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  LILIANECARREIRO,ACTIVE                              ,2015-07-21-18.27.43.000000,,MAXADOOG
  LINCOLNSOUZA,INACTIVE                            ,2020-03-11-10.50.18.000000,Integrantes sem acesso na unidade,MAXADOOG
  LINCOLNSOUZA,ACTIVE                              ,2019-03-14-17.56.47.000000,,THIAGOFROES
  LISTESIVICA,ACTIVE                              ,2019-07-05-11.24.49.000000,Ticket#086638 — Acesso do Máximo para o chefe de maq. Ivo,THIAGOFROES
  LISTESIVICA,INACTIVE                            ,2019-06-13-07.47.46.000000,usuarios inativados de acordo com solicitação Pedro Vinicius em 07/06/19,MAXADOOG
  LISTESIVICA,ACTIVE                              ,2018-01-11-17.47.53.000000,,MAXADOOG
  LISTESIVICA,INACTIVE                            ,2021-02-26-08.47.21.000000,Usuario sem acessar o sistema,MAXADOOG
  LISTESIVICA,ACTIVE                              ,2019-10-02-10.30.46.000000,Ticket#098204 — REQUEST UPGRADE MAXIMO LOG IN,THIAGOFROES
  LISTESIVICA,INACTIVE                            ,2019-09-06-15.37.22.000000,,MAXADOOG
  LIVITONMOREIRA,NEWREG                              ,2024-05-28-08.36.08.000000,,MAXADMIN
  LIVITONMOREIRA,ACTIVE                              ,2024-05-28-08.39.01.000000,,SILVERIOMAIA
  LIVITONMOREIRA,INACTIVE                            ,2024-07-18-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LJANTUNES,ACTIVE                              ,2025-09-11-22.44.48.000000,,SILVERIOMAIA
  LJANTUNES,INACTIVE                            ,2025-11-01-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  LJANTUNES,NEWREG                              ,2025-09-11-22.33.41.000000,,ITEAM
  LMMOURA,NEWREG                              ,2025-08-28-19.51.06.000000,,ITEAM
  LMMOURA,INACTIVE                            ,2026-07-11-07.45.01.482000,Usuario inativo por mais de 50 dias,MAXADMIN
  LMMOURA,ACTIVE                              ,2025-10-29-08.13.44.000000,,LEONARDOFRANCISCO
  LNASCIMENTO,NEWREG                              ,2025-09-04-03.23.14.000000,,ITEAM
  LNASCIMENTO,ACTIVE                              ,2026-06-14-14.30.25.042000,,SILVERIOMAIA
  LNASCIMENTO,ACTIVE                              ,2025-09-04-03.25.33.000000,,SILVERIOMAIA
